Time (s),[ps],[e_ps],[b_ps],[mo],[so],[fa],[ofa]
0.0,97.0852021410269,0.0,0.0,2.81260547270523e-07,0.0,0.000934945017424448,0.0
612.2448979591836,0.00539332270717421,97.07980872909485,8.922485185757711e-08,2.9269845413466897e-10,2.809678488163305e-07,0.0008357657340980252,9.917928332642259e-05
1224.4897959183672,0.0053933227022175505,97.07980863987494,1.7844970363293475e-07,2.926982803414843e-10,2.809678489901238e-07,0.000747107174342641,0.00018783784308180703
1836.7346938775509,0.0053933226972608895,97.07980855065503,2.6767455532629146e-07,2.9269812501254994e-10,2.8096784914545264e-07,0.0006678533940136509,0.00026709162341079706
2448.9795918367345,0.0053933226923042294,97.07980846143514,3.5689940693764736e-07,2.926979861893771e-10,2.8096784928427584e-07,0.0005970068357837279,0.00033793818164072007
3061.224489795918,0.005393322687347566,97.07980837221523,4.4612425846700237e-07,2.926978621204154e-10,2.809678494083448e-07,0.0005336753462409238,0.0004012696711835241
3673.4693877551017,0.005393322682390904,97.07980828299532,5.353491099143564e-07,2.9269775124098515e-10,2.809678495192243e-07,0.00047706195422350206,0.00045788306320094585
4285.714285714285,0.005393322677434244,97.07980819377543,6.245739612797093e-07,2.926976521515726e-10,2.809678496183137e-07,0.00042645381654389964,0.0005084912008805483
4897.959183673469,0.005393322672477584,97.07980810455553,7.137988125630615e-07,2.926975636005002e-10,2.8096784970686476e-07,0.0003812133902362077,0.0005537316271882404
5510.204081632653,0.005393322667520922,97.07980801533563,8.030236637644128e-07,2.92697484473655e-10,2.809678497859916e-07,0.000340773201114945,0.000594171816309503
6122.448979591836,0.005393322662564261,97.07980792611573,8.922485148837631e-07,2.926974137715281e-10,2.809678498566937e-07,0.0003046241484477174,0.0006303208689767305
6734.69387755102,0.005393322657607601,97.07980783689584,9.814733659211124e-07,2.9269735059774513e-10,2.809678499198675e-07,0.00027230966338511836,0.0006626353540393295
7346.938775510203,0.005393322652650939,97.07980774767593,1.070698216876461e-06,2.9269729415308733e-10,2.809678499763122e-07,0.00024342266321988055,0.0006915223542045672
7959.183673469387,0.005393322647694278,97.07980765845605,1.1599230677498086e-06,2.926972437247239e-10,2.8096785002674056e-07,0.00021760006702582364,0.0007173449503986241
8571.42857142857,0.005393322642737617,97.07980756923614,1.2491479185411556e-06,2.926971986747496e-10,2.809678500717905e-07,0.00019451695732207179,0.0007404280601023761
9183.673469387755,0.005393322637780956,97.07980748001624,1.3383727692505017e-06,2.9269715843225797e-10,2.809678501120329e-07,0.00017388254248116463,0.0007610624749432832
9795.918367346938,0.0053933226328242954,97.07980739079635,1.4275976198778466e-06,2.926971224870142e-10,2.809678501479782e-07,0.0001554369339275229,0.0007795080834969249
10408.16326530612,0.005393322627867634,97.07980730157645,1.5168224704231906e-06,2.926970903833424e-10,2.8096785018008184e-07,0.0001389480329826424,0.0007959969844418054
11020.408163265305,0.0053933226229109735,97.07980721235656,1.6060473208865336e-06,2.9269706171386474e-10,2.809678502087513e-07,0.0001242083412824738,0.000810736676141974
11632.65306122449,0.0053933226179543135,97.07980712313666,1.6952721712678761e-06,2.926970361144803e-10,2.809678502343507e-07,0.00011103240377845309,0.0008239126136459947
12244.897959183672,0.005393322612997651,97.07980703391677,1.7844970215672172e-06,2.926970132593363e-10,2.809678502572059e-07,9.925424730565562e-05,0.0008356907701187922
12857.142857142855,0.005393322608040991,97.07980694469687,1.8737218717845577e-06,2.9269699285714337e-10,2.80967850277608e-07,8.872550318285747e-05,0.0008462195142415903
13469.38775510204,0.005393322603084331,97.07980685547697,1.962946721919897e-06,2.926969746476617e-10,2.809678502958175e-07,7.931361812886597e-05,0.0008556313992955819
14081.632653061224,0.00539332259812767,97.07980676625708,2.052171571973236e-06,2.9269695839830845e-10,2.809678503120669e-07,7.090012594297354e-05,0.0008640448914814744
14693.877551020407,0.005393322593171009,97.0798066770372,2.141396421944574e-06,2.9269694390108174e-10,2.809678503265641e-07,6.33790806978625e-05,0.0008715659367265853
15306.12244897959,0.005393322588214348,97.0798065878173,2.2306212718339103e-06,2.9269693097021395e-10,2.809678503394949e-07,5.6655861531666285e-05,0.0008782891558927815
15918.367346938774,0.005393322583257687,97.0798064985974,2.3198461216412464e-06,2.9269691943959275e-10,2.809678503510256e-07,5.064585894987602e-05,0.0008842991584745719
16530.61224489796,0.005393322578301026,97.07980640937751,2.409070971366582e-06,2.926969091606989e-10,2.809678503613045e-07,4.527342459766869e-05,0.0008896715928267792
17142.85714285714,0.005393322573344365,97.07980632015762,2.498295821009916e-06,2.9269690000064404e-10,2.8096785037046457e-07,4.04708717331202e-05,0.0008944741456913277
17755.102040816324,0.005393322568387705,97.07980623093772,2.5875206705712496e-06,2.92696891840764e-10,2.8096785037862446e-07,3.617775856113402e-05,0.0008987672588633138
18367.34693877551,0.005393322563431044,97.07980614171782,2.6767455200505815e-06,2.926968845749848e-10,2.8096785038589025e-07,3.234005638387327e-05,0.0009026049610405745
18979.591836734693,0.005393322558474382,97.07980605249793,2.7659703694479134e-06,2.926968781084578e-10,2.8096785039235677e-07,2.8909453890195855e-05,0.0009060355635342519
19591.836734693876,0.005393322553517721,97.07980596327803,2.855195218763244e-06,2.926968723563902e-10,2.8096785039810886e-07,2.5842761794182624e-05,0.0009091022556302652
20204.08163265306,0.005393322548561062,97.07980587405814,2.944420067996574e-06,2.92696867243006e-10,2.809678504032223e-07,2.3101383557350324e-05,0.0009118436338670974
