Time (s),[ps],[e_ps],[b_ps],[mo],[so],[fa],[ofa],[oeps]
0.0,91.4709258460924,0.0,0.0,2.81260547270523e-07,0.0,0.00100531722303704,0.0,0.0
12.244897959183673,0.003048928895440429,91.46786682915813,1.0088038810173334e-05,2.58557412846385e-07,2.2703134424137092e-08,0.0009388350932429243,6.648212979411597e-05,277.9975763818265
24.489795918367346,0.0030489285591837174,91.46785674145679,2.0176076506533996e-05,2.5855741482924155e-07,2.2703132441280535e-08,0.0008767502103200512,0.000128567012716989,555.9951286420817
36.73469387755102,0.0030489282229270408,91.46784665375648,3.0264113090316917e-05,2.5855741683318285e-07,2.270313043733927e-08,0.000818770357643369,0.00018654686539367106,833.9926564912492
48.97959183673469,0.0030489278866704,91.46783656605726,4.0352148561522224e-05,2.585574188568173e-07,2.2703128413704715e-08,0.0007646246030677798,0.00024069261996926042,1111.9901596802779
61.224489795918366,0.0030489275504137956,91.46782647835917,5.044018292015005e-05,2.5855742089884385e-07,2.2703126371678135e-08,0.0007140596245469603,0.00029125759849008,1389.9876379763011
73.46938775510203,0.0030489272141572296,91.4678163906622,6.052821616620049e-05,2.5855742295804564e-07,2.2703124312476342e-08,0.0006668385273938825,0.00033847869564315774,1667.9850911615545
85.71428571428571,0.003048926877900699,91.46780630296631,7.06162482996737e-05,2.5855742503328573e-07,2.2703122237236254e-08,0.0006227399699954415,0.00038257725304159874,1945.9825190325714
97.95918367346938,0.0030489265416442095,91.46779621527155,8.07042793205698e-05,2.585574271235036e-07,2.2703120147018407e-08,0.0005815574873447074,0.0004237597356923329,2223.9799213995584
110.20408163265306,0.003048926205387754,91.46778612757791,9.079230922888888e-05,2.5855742922770956e-07,2.2703118042812406e-08,0.0005430983602951972,0.00046221886274184294,2501.9772980853595
122.44897959183673,0.003048925869131337,91.46777603988538,0.00010088033802463108,2.5855743134497837e-07,2.2703115925543553e-08,0.0005071825543326443,0.000498134668704396,2779.974648924481
134.6938775510204,0.003048925532874956,91.46776595219397,0.00011096836570779651,2.585574334744469e-07,2.2703113796075036e-08,0.00047364187112145054,0.0005316753519155897,3057.9719737623063
146.93877551020407,0.0030489251966186125,91.46775586450366,0.00012105639227838533,2.585574356153059e-07,2.2703111655216064e-08,0.00044231880221752914,0.000562998420819511,3335.9692724540487
159.18367346938774,0.0030489248603623063,91.46774577681447,0.00013114441773639764,2.5855743776680365e-07,2.2703109503718258e-08,0.00041306705275697634,0.0005922501702800638,3613.966544865225
171.42857142857142,0.003048924524106037,91.4677356891264,0.00014123244208183358,2.585574399282389e-07,2.2703107342283085e-08,0.0003857500684417266,0.0006195671545953136,3891.9637908703094
183.6734693877551,0.003048924187849804,91.46772560143943,0.00015132046531469322,2.585574420989552e-07,2.270310517156671e-08,0.0003602400968225315,0.0006450771262145088,4169.961010351868
195.91836734693877,0.003048923851593609,91.46771551375357,0.00016140848743497672,2.58557444278338e-07,2.270310299218396e-08,0.0003364174191994706,0.0006688998038375697,4447.9582031998525
208.16326530612244,0.003048923515337451,91.46770542606883,0.00017149650844268424,2.585574464658136e-07,2.270310080470833e-08,0.00031417034611122807,0.000691146876925812,4725.955369311594
220.40816326530611,0.0030489231790813303,91.46769533838518,0.00018158452833781581,2.5855744866084485e-07,2.2703098609677113e-08,0.0002933942752398696,0.0007119229477971704,5003.952508590935
232.6530612244898,0.0030489228428252457,91.46768525070267,0.00019167254712037165,2.585574508629316e-07,2.270309640759038e-08,0.0002739920030459046,0.0007313252199911356,5281.949620948528
244.89795918367346,0.0030489225065691984,91.46767516302127,0.00020176056479035182,2.58557453071608e-07,2.270309419891402e-08,0.0002558726932318072,0.0007494445298052329,5559.946706300871
257.1428571428571,0.0030489221703131884,91.46766507534096,0.00021184858134775644,2.5855745528643927e-07,2.2703091984082756e-08,0.000238951664788269,0.000766365558248771,5837.943764570125
269.3877551020408,0.0030489218340572157,91.46765498766179,0.00022193659679258564,2.585574575070182e-07,2.270308976350386e-08,0.00022314969523917728,0.0007821675277978628,6115.940795683466
281.63265306122446,0.0030489214978012794,91.46764489998371,0.0002320246111248396,2.585574597329647e-07,2.27030875375573e-08,0.00020839278464710058,0.0007969244383899394,6393.937799572871
293.87755102040813,0.003048921161545381,91.46763481230674,0.00024211262434451836,2.585574619639236e-07,2.2703085306598404e-08,0.00019461177163124745,0.0008107054514057926,6671.934776174764
306.1224489795918,0.0030489208252895196,91.46762472463091,0.00025220063645162204,2.585574641995631e-07,2.2703083070958943e-08,0.00018174206465184194,0.0008235751583851981,6949.931725429772
318.3673469387755,0.0030489204890336943,91.46761463695616,0.00026228864744615084,2.5855746643957365e-07,2.270308083094841e-08,0.00016972340927325866,0.0008355938137637813,7227.92864728251
330.61224489795916,0.0030489201527779063,91.46760454928254,0.0002723766573281049,2.585574686836662e-07,2.2703078586855835e-08,0.00015849953038339076,0.0008468176926536493,7505.925541681248
342.85714285714283,0.0030489198165221556,91.46759446161,0.00028246466609748426,2.5855747093157116e-07,2.2703076338950934e-08,0.00014801791157565753,0.0008572993114613825,7783.922408577713
355.1020408163265,0.00304891948026644,91.46758437393859,0.0002925526737542891,2.5855747318303646e-07,2.2703074087485615e-08,0.00013822951275901596,0.000867087710278024,8061.9192479268295
367.3469387755102,0.0030489191440107627,91.46757428626827,0.00030264068029851947,2.585574754378266e-07,2.2703071832695453e-08,0.00012908845711327434,0.0008762287659237657,8339.916059686424
379.59183673469386,0.003048918807755125,91.46756419859909,0.0003127286857301755,2.5855747769572164e-07,2.270306957480039e-08,0.00012055192542466174,0.0008847652976123782,8617.912843817136
