,x_fit,y_fit
0,0.0502092050209205,0.7103797164839074
1,0.05878392872248264,0.7503977410430877
2,0.06882304299799423,0.7993764402362826
3,0.08057663634333082,0.8510440052922825
4,0.09433750734611662,0.8976678205924828
5,0.11044845871150849,0.9341726168129423
6,0.1293108369610739,0.9597055365129092
7,0.15139453054070648,0.9761876278148702
8,0.177249675404549,0.9862828935612703
9,0.20752035967752852,0.9922685632283953
10,0.24296066879897696,0.9957494201672137
11,0.28445347085449507,0.9977508591241506
12,0.33303241006517087,0.998894170116503
13,0.38990765632298996,0.9995448466670415
14,0.45649605222968137,0.9999143705467662
15,0.5344564086442557,1.0001239724408353
16,0.6257308280011081,1.0002427816816184
17,0.7325930848208206,1.000310100499459
18,0.8577052686404252,1.0003482357946905
19,1.00418410041841,1.0003698362830495
