time (hr),oxidation_proportion,percent_reduction
0,0.0,"{'oxidation_proportion': 0.0, 'percent_reduction': 0.0}"
1,0.034482758620689655,"{'oxidation_proportion': 0.2884984060607663, 'percent_reduction': 3.606230075759579}"
2,0.06896551724137931,"{'oxidation_proportion': 0.49377608917613897, 'percent_reduction': 6.172201114701737}"
3,0.10344827586206896,"{'oxidation_proportion': 0.6398296410335249, 'percent_reduction': 7.997870512919062}"
4,0.13793103448275862,"{'oxidation_proportion': 0.7437460175686478, 'percent_reduction': 9.296825219608097}"
5,0.1724137931034483,"{'oxidation_proportion': 0.8176794576108329, 'percent_reduction': 10.220993220135412}"
6,0.20689655172413793,"{'oxidation_proportion': 0.8702831539091994, 'percent_reduction': 10.878539423864993}"
7,0.2413793103448276,"{'oxidation_proportion': 0.9077096350614755, 'percent_reduction': 11.346370438268444}"
8,0.27586206896551724,"{'oxidation_proportion': 0.9343378433614825, 'percent_reduction': 11.679223042018531}"
9,0.3103448275862069,"{'oxidation_proportion': 0.9532831631546128, 'percent_reduction': 11.91603953943266}"
10,0.3448275862068966,"{'oxidation_proportion': 0.9667622592193601, 'percent_reduction': 12.084528240242001}"
11,0.37931034482758624,"{'oxidation_proportion': 0.9763522884592304, 'percent_reduction': 12.20440360574038}"
12,0.41379310344827586,"{'oxidation_proportion': 0.9831753294003232, 'percent_reduction': 12.28969161750404}"
13,0.4482758620689655,"{'oxidation_proportion': 0.9880297299232008, 'percent_reduction': 12.35037162404001}"
14,0.4827586206896552,"{'oxidation_proportion': 0.9914834987829809, 'percent_reduction': 12.393543734787261}"
15,0.5172413793103449,"{'oxidation_proportion': 0.993940758294754, 'percent_reduction': 12.424259478684425}"
16,0.5517241379310345,"{'oxidation_proportion': 0.9956890251483019, 'percent_reduction': 12.446112814353775}"
17,0.5862068965517242,"{'oxidation_proportion': 0.9969328672260099, 'percent_reduction': 12.461660840325123}"
18,0.6206896551724138,"{'oxidation_proportion': 0.9978178251426889, 'percent_reduction': 12.472722814283612}"
19,0.6551724137931035,"{'oxidation_proportion': 0.9984474461763693, 'percent_reduction': 12.480593077204617}"
20,0.6896551724137931,"{'oxidation_proportion': 0.9988954033394145, 'percent_reduction': 12.486192541742682}"
21,0.7241379310344828,"{'oxidation_proportion': 0.9992141120296513, 'percent_reduction': 12.490176400370641}"
22,0.7586206896551725,"{'oxidation_proportion': 0.9994408636322546, 'percent_reduction': 12.493010795403183}"
23,0.7931034482758621,"{'oxidation_proportion': 0.9996021908269199, 'percent_reduction': 12.495027385336499}"
24,0.8275862068965517,"{'oxidation_proportion': 0.9997169705076067, 'percent_reduction': 12.496462131345083}"
25,0.8620689655172413,"{'oxidation_proportion': 0.9997986327749356, 'percent_reduction': 12.497482909686696}"
26,0.896551724137931,"{'oxidation_proportion': 0.9998567331058643, 'percent_reduction': 12.498209163823304}"
27,0.9310344827586207,"{'oxidation_proportion': 0.9998980698325726, 'percent_reduction': 12.498725872907157}"
28,0.9655172413793104,"{'oxidation_proportion': 0.9999274796600489, 'percent_reduction': 12.49909349575061}"
29,1.0,"{'oxidation_proportion': 0.9999484038968045, 'percent_reduction': 12.499355048710056}"
