time (hr),oxidation_proportion
0.0,0.0
0.17006802721088435,1.0710469575145025e-08
0.3401360544217687,2.1420938857867214e-08
0.510204081632653,3.2131408140589406e-08
0.6802721088435374,4.28418774233116e-08
0.8503401360544217,5.35523467060338e-08
1.020408163265306,6.426281598875599e-08
1.1904761904761905,7.497328395688368e-08
1.3605442176870748,8.56837507392042e-08
1.530612244897959,9.639421743848675e-08
1.7006802721088434,1.0710468405473136e-07
1.8707482993197277,1.1781515058793821e-07
2.040816326530612,1.2852561703810707e-07
2.2108843537414966,1.3923608340523814e-07
2.380952380952381,1.4994654968933142e-07
2.5510204081632653,1.606570158903867e-07
2.7210884353741496,1.713674820084042e-07
2.8911564625850334,1.820779480433838e-07
3.061224489795918,1.927884139953255e-07
3.2312925170068025,2.034988798642295e-07
3.401360544217687,2.1420934565009542e-07
3.5714285714285707,2.2491981135292364e-07
3.7414965986394555,2.3563027697271384e-07
3.91156462585034,2.4634074250946635e-07
4.081632653061224,2.5705120796318094e-07
4.2517006802721085,2.677616733338576e-07
4.421768707482993,2.784721386214964e-07
4.591836734693877,2.8918260382609743e-07
4.761904761904762,2.9989306894766055e-07
4.931972789115646,3.106035339861858e-07
5.1020408163265305,3.213139989416731e-07
5.272108843537414,3.3202446381412267e-07
5.442176870748299,3.427349286035343e-07
5.612244897959183,3.53445393309908e-07
5.782312925170067,3.64155857933244e-07
5.952380952380952,3.7486632247354205e-07
6.122448979591836,3.855767869308022e-07
6.29251700680272,3.9628725130502465e-07
6.462585034013605,4.0699771559620897e-07
6.63265306122449,4.177081798043557e-07
6.802721088435374,4.284186439294644e-07
6.972789115646258,4.3912910797153523e-07
7.1428571428571415,4.4983957193056817e-07
7.312925170068027,4.605500358065633e-07
7.482993197278911,4.7126049959952067e-07
7.653061224489795,4.819709633094401e-07
7.82312925170068,4.926814269363216e-07
7.993197278911564,5.033918904801654e-07
8.163265306122447,5.141023539409712e-07
8.333333333333332,5.248128173187392e-07
