Time (s),[ps],[e_ps],[so],[b_ps],[fa],[ofa]
0.0,5e-06,0.0,0.0,0.0,0.0109764263757248,0.0
180.7531380753138,5.790421406393496e-07,4.420826967185651e-06,5.212596942442505e-07,1.30892175001699e-10,0.007688860140502703,0.003929284592544172
361.5062761506276,5.790269726837269e-07,4.420711164029803e-06,5.215305307663792e-07,2.6186328647311656e-10,0.005384513658453257,0.006683087555203075
542.2594142259414,5.790117985557662e-07,4.420595313749861e-06,5.217163562710855e-07,3.9288769437680507e-10,0.003770098843355461,0.008612224702732253
723.0125523012553,5.78996620339492e-07,4.4204794322567715e-06,5.218424889345045e-07,5.23947403740019e-10,0.002639387804826186,0.009963283696982343
903.7656903765691,5.789814394971561e-07,4.420363530714428e-06,5.219267461164258e-07,6.550297884192258e-10,0.0018476378702901638,0.010909289190539838
1084.5188284518829,5.789662570542143e-07,4.420247616951897e-06,5.219816489490666e-07,7.861259938914695e-10,0.0012933205709227344,0.011571586173139064
1265.2719665271966,5.789510737292914e-07,4.420131696455686e-06,5.220159849873272e-07,9.172298150265409e-10,0.0009052736059554706,0.01203521604026324
1446.0251046025105,5.78935890025766e-07,4.420015773068946e-06,5.220359161337688e-07,1.0483369052903945e-09,0.0006336422114103355,0.012359751892559756
1626.7782426778244,5.78920706296139e-07,4.419899849482931e-06,5.22045760659198e-07,1.1794442209320175e-09,0.00044350975359126385,0.012586914355496514
1807.5313807531381,5.789055227871995e-07,4.419783927581801e-06,5.22048543529375e-07,1.31054963100151e-09,0.0003104274139771083,0.01274591530260411
1988.2845188284518,5.788903396716955e-07,4.419668008684446e-06,5.220463831381084e-07,1.4416516438605201e-09,0.00021727857269327494,0.01285720544311764
2169.0376569037658,5.788751570705331e-07,4.419552093713946e-06,5.22040762715291e-07,1.5727492155236184e-09,0.00015208107369978814,0.012935100661760447
2349.7907949790797,5.78859975068322e-07,4.419436183316273e-06,5.220327206314502e-07,1.7038416154067777e-09,0.0001064476025464616,0.012989621745058766
2530.543933054393,5.788447937242646e-07,4.419320277943422e-06,5.22022983753764e-07,1.8349283323162887e-09,7.4507459010908e-05,0.013027782703630269
2711.297071129707,5.788296130797781e-07,4.419204377911601e-06,5.220120608641709e-07,1.9660090086244957e-09,5.215155970163954e-05,0.013054492847702394
2892.050209205021,5.788144331638315e-07,4.419088483441983e-06,5.220003080796542e-07,2.097083394189005e-09,3.650386882529734e-05,0.013073188308800027
3072.803347280335,5.787992539966821e-07,4.418972594689225e-06,5.21987974654834e-07,2.228151314097829e-09,2.5551403515482973e-05,0.01308627409320742
3253.556485355649,5.787840755924887e-07,4.418856711761423e-06,5.219752350461123e-07,2.359212646093029e-09,1.788525167783274e-05,0.013095433499481989
3434.3096234309623,5.787688979611417e-07,4.418740834734094e-06,5.219622113568707e-07,2.4902673047688512e-09,1.2519296838549333e-05,0.013101844694789899
3615.0627615062763,5.787537211095462e-07,4.4186249636599475e-06,5.21948989048536e-07,2.6213152305116785e-09,8.763336398173371e-06,0.013106332305029961
3795.81589958159,5.787385450425142e-07,4.418509098575731e-06,5.219356279364323e-07,2.752356381759731e-09,6.134281992238789e-06,0.013109473506907743
3976.5690376569037,5.787233697633968e-07,4.418393239507023e-06,5.219221698861106e-07,2.8833907295856004e-09,4.294006749138366e-06,0.013111672284143104
4157.322175732218,5.787081952745196e-07,4.418277386471582e-06,5.21908644199983e-07,3.0144182539046584e-09,3.0058445700128234e-06,0.013113211399527647
4338.0753138075315,5.78693021577492e-07,4.418161539481694e-06,5.218950713876092e-07,3.145438940821244e-09,2.104142385887512e-06,0.01311428877219517
4518.828451882845,5.786778486734215e-07,4.418045698545814e-06,5.21881465804235e-07,3.276452780771469e-09,1.472951817325783e-06,0.013115042935740765
4699.581589958159,5.786626765630648e-07,4.417929863669719e-06,5.218678374976239e-07,3.407459767223301e-09,1.0311141912660442e-06,0.01311557085795817
4880.334728033473,5.786475052469321e-07,4.417814034857309e-06,5.218541935006289e-07,3.5384598957667582e-09,7.21821563896619e-07,0.01311594041290621
5061.087866108786,5.786323347253628e-07,4.417698212111168e-06,5.218405387359208e-07,3.6694531634771062e-09,5.053098687624844e-07,0.013116199110879998
5241.841004184101,5.786171649985748e-07,4.417582395432962e-06,5.218268766491478e-07,3.800439568469195e-09,3.537451881766044e-07,0.013116380208144537
5422.594142259414,5.786019960667023e-07,4.417466584823719e-06,5.218132096521341e-07,3.9314191095855064e-09,2.47644190119419e-07,0.013116506983713094
5603.347280334729,5.785868279298205e-07,4.417350780284008e-06,5.217995394328974e-07,4.062391786177935e-09,1.7337014224220244e-07,0.013116595731066069
5784.100418410042,5.785716605879627e-07,4.417234981814089e-06,5.217858671733446e-07,4.193357597954572e-09,1.21374570517363e-07,0.01311665785899696
5964.8535564853555,5.785564940411341e-07,4.417119189413997e-06,5.217721937007848e-07,4.324316544873043e-09,8.497343673047304e-08,0.013116701353829203
6145.60669456067,5.785413282893197e-07,4.417003403083619e-06,5.217585195940262e-07,4.4552686270658365e-09,5.9490146737220974e-08,0.013116731803350134
6326.359832635983,5.785261633324896e-07,4.416887622822727e-06,5.217448452583957e-07,4.586213844787501e-09,4.164956280367445e-08,0.01311675312084908
6507.112970711298,5.785109991706045e-07,4.416771848631021e-06,5.217311709775362e-07,4.717152198378174e-09,2.9159581817320993e-08,0.013116768045053235
6687.866108786611,5.784958358036184e-07,4.416656080508147e-06,5.217174969500228e-07,4.8480836882378226e-09,2.0415350100539585e-08,0.013116778493537177
6868.619246861925,5.784806732314793e-07,4.416540318453716e-06,5.217038233148395e-07,4.979008314808301e-09,1.4293459813383311e-08,0.013116785808622279
7049.372384937239,5.784655114541335e-07,4.416424562467309e-06,5.216901501692384e-07,5.109926078560783e-09,1.000765761253466e-08,0.013116790929780376
