Time (s),[ps],[e_ps],[so],[b_ps],[fa],[ofa],[eps],[oeps]
0.0,1e-05,0.0,0.0,0.0,0.0109764263757248,0.0,0.680504424734382,0.0
180.7531380753138,6.331989153109163e-07,9.366454307796272e-06,1.2624150304107365e-06,3.467768928306344e-10,0.010513597376229838,0.0005374773370459814,0.6746676901139725,0.00583673462041005
361.5062761506276,6.33176957770629e-07,9.366129505758686e-06,1.2623951210347637e-06,6.935364707029753e-10,0.010070296126545714,0.001052278616970288,0.6688811068998276,0.011623317834555042
542.2594142259414,6.331550013419787e-07,9.36580472016499e-06,1.262374761191819e-06,1.040278493050388e-09,0.009645692656178389,0.0015453676222875264,0.6631442454572783,0.017360179277104315
723.0125523012553,6.331330460326461e-07,9.365479951128429e-06,1.2623539652121089e-06,1.38700283894357e-09,0.009238996769656562,0.0020176619187155737,0.6574566793492932,0.023047745385089517
903.7656903765691,6.33111091850008e-07,9.365155198758243e-06,1.2623327468060748e-06,1.733709391766942e-09,0.008849454890457978,0.0024700365496183965,0.6518179867255602,0.028686438008822413
1084.5188284518829,6.33089138801221e-07,9.364830463160302e-06,1.262311119162815e-06,2.0803980384949522e-09,0.008476344356609222,0.0029033306601737845,0.6462277489884951,0.03427667574588756
1265.2719665271966,6.330671868932211e-07,9.3645057444372e-06,1.2622890949656159e-06,2.4270686695957333e-09,0.008118972469262192,0.0033183486023164615,0.6406855508508825,0.03981887388350013
1446.0251046025105,6.330452361327337e-07,9.364181042688416e-06,1.2622666864172366e-06,2.7737211788650152e-09,0.007776674971350545,0.003715861701493883,0.6351909802895953,0.04531344444478732
1626.7782426778244,6.330232865262768e-07,9.36385635801038e-06,1.2622439052526406e-06,3.120355463359498e-09,0.007448815236258623,0.00409660919894853,0.6297436287731855,0.050760795961197154
1807.5313807531381,6.330013380801653e-07,9.363531690496494e-06,1.2622207627440847e-06,3.46697142335616e-09,0.007134783979148126,0.004461298586901063,0.6243430911475824,0.05616133358680021
1988.2845188284518,6.329793908005182e-07,9.36320704023727e-06,1.2621972697220385e-06,3.813568962225849e-09,0.006833997967516232,0.004810607106011858,0.6189889657619135,0.061515458972468864
2169.0376569037658,6.329574446932732e-07,9.362882407320545e-06,1.262173436610637e-06,4.160147986196518e-09,0.006545897901653878,0.005145184206715604,0.6136808543422438,0.06682357039213863
2349.7907949790797,6.329354997641799e-07,9.362557791831371e-06,1.2621492734103808e-06,4.506708404464706e-09,0.006269949461453093,0.005465650333566407,0.6084183619912459,0.07208606274313653
2530.543933054393,6.329135560188249e-07,9.362233193852379e-06,1.2621247897573787e-06,4.853250128811695e-09,0.006005639730727781,0.005772601077579383,0.6032010971544003,0.07730332757998203
2711.297071129707,6.328916134626447e-07,9.361908613463991e-06,1.2620999949564725e-06,5.199773073381394e-09,0.005752475221621445,0.006066609470271036,0.5980286714863958,0.08247575324798652
2892.050209205021,6.328696721008905e-07,9.361584050743884e-06,1.2620748978960692e-06,5.54627715524231e-09,0.0055099869827813334,0.006348220051883918,0.592900700055306,0.0876037246790763
3072.803347280335,6.328477319386617e-07,9.361259505767492e-06,1.2620495071279783e-06,5.8927622938622435e-09,0.005277725803735789,0.00661795444021739,0.5878168011770462,0.09268762355733626
3253.556485355649,6.32825792980959e-07,9.360934978608784e-06,1.2620238309945628e-06,6.2392284102724314e-09,0.005055254571656607,0.006876320206179265,0.5827765961671235,0.09772782856725884
3434.3096234309623,6.328038552325536e-07,9.360610469338338e-06,1.2619978773158099e-06,6.58567542912488e-09,0.004842167077900306,0.007123789035037158,0.5777797099590931,0.10272471477528929
3615.0627615062763,6.327819186981318e-07,9.360285978025473e-06,1.2619716537364006e-06,6.932103276411793e-09,0.004638067163305784,0.007360820943516783,0.5728257704277663,0.10767865430661601
3795.81589958159,6.327599833822716e-07,9.35996150473791e-06,1.2619451676696896e-06,7.278511879833913e-09,0.004442572084235455,0.007587860371041759,0.5679144085012108,0.11259001623317158
3976.5690376569037,6.327380492893541e-07,9.359637049540459e-06,1.2619184260840787e-06,7.624901170203512e-09,0.004255325343816284,0.007805321279718372,0.5630452585754784,0.11745916615890398
4157.322175732218,6.327161164237042e-07,9.359312612497085e-06,1.2618914358406424e-06,7.971271079225853e-09,0.004075976421617575,0.00801361069249679,0.5582179578384484,0.12228646689593395
4338.0753138075315,6.326941847895115e-07,9.358988193669774e-06,1.2618642035060111e-06,8.317621540729648e-09,0.0039041920019937844,0.008213115654810756,0.5534321466600575,0.1270722780743249
4518.828451882845,6.326722543908497e-07,9.358663793118776e-06,1.2618367353947238e-06,8.663952490388481e-09,0.003739653433384124,0.008404206184812002,0.5486874685027359,0.13181695623164655
4699.581589958159,6.326503252316853e-07,9.358339410902767e-06,1.2618090375931005e-06,9.010263865560475e-09,0.0035820553231940065,0.008587236904805794,0.5439835698011153,0.13652085493326716
4880.334728033473,6.326283973158936e-07,9.358015047079074e-06,1.261781115997042e-06,9.356555605045257e-09,0.0034311032257318655,0.008762549726277814,0.5393200999975275,0.1411843247368549
5061.087866108786,6.326064706472465e-07,9.357690701703492e-06,1.2617529762822575e-06,9.70282764927485e-09,0.0032865154573547034,0.00893047174194,0.5346967115152219,0.1458077132191605
5241.841004184101,6.325845452293982e-07,9.357366374830072e-06,1.2617246238687587e-06,1.0049079940543677e-08,0.003148025222114305,0.009091312757363827,0.530113059799537,0.15039136493484542
5422.594142259414,6.325626210659338e-07,9.357042066511848e-06,1.2616960640402328e-06,1.0395312422231951e-08,0.0030153734475901225,0.009245373610180414,0.5255688031633022,0.1549356215710803
5603.347280334729,6.325406981603362e-07,9.356717776800341e-06,1.2616673018619492e-06,1.074152503933805e-08,0.0028883137170986795,0.009392940442592574,0.5210636028682671,0.15944082186611544
5784.100418410042,6.325187765159959e-07,9.3563935057457e-06,1.2616383422052533e-06,1.108771773831836e-08,0.0027666108009382685,0.009534286406896056,0.5165971230828936,0.16390730165148892
5964.8535564853555,6.324968561362246e-07,9.356069253396917e-06,1.261609189780259e-06,1.143389046687379e-08,0.002650038688368933,0.009669673950819567,0.51216903083745,0.16833539389693258
6145.60669456067,6.324749370242527e-07,9.355745019801771e-06,1.2615798491290222e-06,1.1780043173991968e-08,0.0025383810111427024,0.009799354325553719,0.5077789959933386,0.172725428741044
6326.359832635983,6.324530191832308e-07,9.355420805006874e-06,1.2615503246310246e-06,1.2126175809911704e-08,0.0024314307075884146,0.009923567975868028,0.5034266912446493,0.17707773348973327
6507.112970711298,6.324311026162344e-07,9.355096609057715e-06,1.2615206205115666e-06,1.2472288326067254e-08,0.002328989521272932,0.010042545122233184,0.4991117920919314,0.18139263264245117
6687.866108786611,6.324091873262676e-07,9.354772431998732e-06,1.2614907408525325e-06,1.2818380675015445e-08,0.0022308673674350456,0.01015650649650394,0.494833976782497,0.18567044795188553
6868.619246861925,6.323872733162661e-07,9.354448273873353e-06,1.261460689598627e-06,1.3164452810396372e-08,0.002136881946035952,0.01026566379117201,0.49059292633103546,0.18991149840334706
7049.372384937239,6.323653605890969e-07,9.354124134723982e-06,1.2614304705566445e-06,1.3510504686935437e-08,0.0020468587978066965,0.010370219594323984,0.48638832447607744,0.19411610025830517
7230.125523012553,6.323434491475509e-07,9.35380001459191e-06,1.261400087378375e-06,1.3856536260553084e-08,0.0019606323347300374,0.010470366193106501,0.4822198576802416,0.198284567054141
7410.878661087866,6.32321538994374e-07,9.35347591351775e-06,1.2613695436338177e-06,1.4202547487889199e-08,0.0018780414360937668,0.010566290687311327,0.4780872150556537,0.2024172096787289
7591.63179916318,6.322996301322503e-07,9.353151831541212e-06,1.2613388427726698e-06,1.4548538326551284e-08,0.001798931770114513,0.01065817229365638,0.473990088374844,0.2065143363595386
7772.384937238494,6.322777225638069e-07,9.35282776870115e-06,1.2613079881330116e-06,1.4894508735056916e-08,0.00172315527406587,0.010746182949409737,0.4699281720468181,0.2105762526875645
