Time (s),[ps],[e_ps],[b_ps],[so],[fa],[ofa]
0.0,1e-06,0.0,0.0,0.0,0.00100531722303704,0.0
63.1578947368421,7.434459992946474e-15,5.725257581499237,-5.7252565814992025,6.183973879282991e-05,5.594493166728207e-30,0.0010053172230370402
126.3157894736842,7.541193830761397e-15,5.725257581499237,-5.725256581499224,6.18397387928299e-05,5.9079506291807735e-30,0.0010053172230370402
189.4736842105263,8.992723761504102e-17,5.725257581499237,-5.725256581499218,6.18397387928299e-05,2.1187765236723108e-32,0.0010053172230370402
252.6315789473684,6.62074458370525e-17,5.725257581499237,-5.725256581499215,6.18397387928299e-05,1.513478622651638e-32,0.0010053172230370402
315.7894736842105,4.2487654059063967e-17,5.725257581499237,-5.725256581499212,6.18397387928299e-05,9.081807216309652e-33,0.0010053172230370402
378.9473684210526,1.876786228107545e-17,5.725257581499237,-5.72525658149921,6.18397387928299e-05,3.0288282061029265e-33,0.0010053172230370402
442.10526315789474,6.5963584303316444e-18,5.725257581499237,-5.725256581499208,6.18397387928299e-05,5.998695202867469e-36,0.0010053172230370402
505.2631578947368,5.942973557738808e-18,5.725257581499237,-5.725256581499208,6.18397387928299e-05,5.402668130214343e-36,0.0010053172230370402
568.421052631579,5.289588685145972e-18,5.725257581499237,-5.725256581499208,6.18397387928299e-05,4.8066410575612175e-36,0.0010053172230370402
631.578947368421,4.636203812553136e-18,5.725257581499237,-5.725256581499208,6.18397387928299e-05,4.210613984908092e-36,0.0010053172230370402
694.7368421052631,3.9828189399603004e-18,5.725257581499237,-5.725256581499208,6.18397387928299e-05,3.6145869122549665e-36,0.0010053172230370402
757.8947368421052,3.3294340673674646e-18,5.725257581499237,-5.725256581499208,6.183973879282991e-05,3.018559839601841e-36,0.0010053172230370402
821.0526315789473,2.6760491947746284e-18,5.725257581499237,-5.725256581499208,6.183973879282991e-05,2.4225327669487153e-36,0.0010053172230370402
884.2105263157895,2.0226643221817926e-18,5.725257581499237,-5.725256581499208,6.183973879282991e-05,1.82650569429559e-36,0.0010053172230370402
947.3684210526316,1.3692794495889558e-18,5.725257581499237,-5.725256581499208,6.183973879282991e-05,1.2304786216424637e-36,0.0010053172230370402
1010.5263157894736,7.1589457699612e-19,5.725257581499237,-5.725256581499208,6.183973879282991e-05,6.344515489893382e-37,0.0010053172230370402
1073.6842105263158,6.250970440328299e-20,5.725257581499237,-5.725256581499208,6.183973879282991e-05,3.842447633621171e-38,0.0010053172230370402
1136.842105263158,2.0953828065548607e-20,5.725257581499237,-5.725256581499208,6.183973879282991e-05,6.152058514881745e-40,0.0010053172230370402
1200.0,2.083195034641469e-20,5.725257581499237,-5.725256581499208,6.183973879282991e-05,6.093016431155815e-40,0.0010053172230370402
