time (hr),oxidation_proportion
0.0,0.0
0.17006802721088435,1.1099039239821575e-06
0.3401360544217687,2.2197805177616997e-06
0.510204081632653,3.3296216968444993e-06
0.6802721088435374,4.439455255240188e-06
0.8503401360544217,5.549281192948768e-06
1.020408163265306,6.659099509970238e-06
1.1904761904761905,7.768910206304597e-06
1.3605442176870748,8.878713281951844e-06
1.530612244897959,9.988508736911986e-06
1.7006802721088434,1.1098296571185014e-05
1.8707482993197277,1.2208076784770932e-05
2.040816326530612,1.331784937766974e-05
2.2108843537414966,1.4427614349881437e-05
2.380952380952381,1.5537371701406024e-05
2.5510204081632653,1.6647121432243504e-05
2.7210884353741496,1.7756853585655345e-05
2.8911564625850334,1.8866567765995465e-05
3.061224489795918,1.997627178650631e-05
3.2312925170068025,2.108596564718789e-05
3.401360544217687,2.219564934804019e-05
3.5714285714285707,2.3305322889063222e-05
3.7414965986394555,2.4414986270256976e-05
3.91156462585034,2.5524639491621473e-05
4.081632653061224,2.6634282553156687e-05
4.2517006802721085,2.774391545486263e-05
4.421768707482993,2.88535381967393e-05
4.591836734693877,2.9963150778786708e-05
4.761904761904762,3.107275320100484e-05
4.931972789115646,3.2182345463393695e-05
5.1020408163265305,3.329192132807382e-05
5.272108843537414,3.440148269467509e-05
5.442176870748299,3.5511033056619446e-05
5.612244897959183,3.662057241390688e-05
5.782312925170067,3.7730100766537414e-05
5.952380952380952,3.8839618114511024e-05
6.122448979591836,3.994912445782774e-05
6.29251700680272,4.105861979648753e-05
6.462585034013605,4.216810413049041e-05
6.63265306122449,4.32775774598364e-05
6.802721088435374,4.438703978452545e-05
6.972789115646258,4.54964911045576e-05
7.1428571428571415,4.6605931419932825e-05
7.312925170068027,4.771536073065115e-05
7.482993197278911,4.882477903671256e-05
7.653061224489795,4.993418633811706e-05
7.82312925170068,5.104358263486465e-05
7.993197278911564,5.215296792695532e-05
8.163265306122447,5.326234221438908e-05
8.333333333333332,5.4371705497165934e-05
