time (hr),oxidation,excitation,log10-oxidation,log10-excitation,inactivation,log10-inactivation
0.0502092050209205,0.027452523394758132,0.23804445355293116,0.012089188640408075,0.11807036526918638,0.027452523394758132,2.836783009200268
0.100418410041841,0.052426869541354906,0.2380442676672738,0.023387262701265298,0.11807025931929761,0.052426869541354906,2.848081083261125
0.1506276150627615,0.07522559629631073,0.23804408179679235,0.03396419934318798,0.11807015337808453,0.07522559629631073,2.858658019903048
0.200836820083682,0.09610420791774336,0.23804389594209724,0.04388163537897949,0.11807004744589504,0.09610420791774336,2.8685754559388394
0.2510460251046025,0.11527993543516996,0.23804371010383274,0.053194123253039155,0.11806994152309647,0.11527993543516996,2.8778879438128993
0.301255230125523,0.1329385868102025,0.23804352428266745,0.06195014074193655,0.11806983561006981,0.1329385868102025,2.8866439613017967
0.3514644351464435,0.14924003583990944,0.23804333847929737,0.07019295571507658,0.11806972970721172,0.14924003583990944,2.8948867762749364
0.401673640167364,0.16432259801877058,0.2380431526944481,0.07796134167337708,0.11806962381493581,0.16432259801877058,2.902655162233237
0.4518828451882846,0.17830654270558904,0.23804296692887378,0.0852901710673236,0.1180695179336719,0.17830654270558904,2.9099839916271835
0.502092050209205,0.19129695732423727,0.23804278118336045,0.09221092289061034,0.11806941206386805,0.19129695732423727,2.9169047434504702
0.5523012552301255,0.20338604439364216,0.2380425954587257,0.09875208960414046,0.11806930620599024,0.20338604439364216,2.9234459101640002
0.602510460251046,0.21465509582078696,0.23804240975582233,0.10493956989810765,0.11806920036052446,0.21465509582078696,2.9296333904579677
0.6527196652719666,0.22517599847190917,0.23804222407553693,0.11079693471369245,0.11806909452797605,0.22517599847190917,2.9354907552735523
0.702928870292887,0.2350125996301793,0.23804203841879382,0.1163457177809225,0.11806898870887193,0.2350125996301793,2.9410395383407826
0.7531380753138075,0.24422184558466117,0.23804185278655957,0.1216056654144882,0.11806888290376293,0.24422184558466117,2.946299485974348
0.803347280334728,0.25285453582657663,0.23804166717983385,0.1265948357513619,0.11806877711321888,0.25285453582657663,2.9512886563112217
0.8535564853556485,0.26095622366688315,0.23804148159965713,0.13132983595317319,0.11806867133783269,0.26095622366688315,2.9560236565130333
0.9037656903765692,0.2685680266017957,0.238041296047128,0.13582605908287476,0.11806856557823063,0.2685680266017957,2.9605198796427348
0.9539748953974896,0.27572677029339643,0.23804111052336543,0.1400975667191512,0.11806845983505043,0.27572677029339643,2.964791387279011
1.00418410041841,0.2824658218954622,0.23804092502954005,0.1441574074738555,0.11806835410895936,0.2824658218954622,2.9688512280337154
1.0543933054393306,0.28881553337458266,0.23804073956688515,0.14801773760102924,0.11806824840066016,0.28881553337458266,2.9727115581608894
1.104602510460251,0.2948033867914429,0.2380405541366731,0.1516897821191237,0.11806814271087829,0.2948033867914429,2.976383602678984
1.1548117154811717,0.3004544462340235,0.23804036874023557,0.15518399939226835,0.11806803704037255,0.3004544462340235,2.9798778199521285
1.205020920502092,0.3057915772311284,0.2380401833789599,0.15851012137643,0.11806793138993375,0.3057915772311284,2.98320394193629
1.2552301255230125,0.3108356156073412,0.23803999805427792,0.16167717472576598,0.11806782576037793,0.3108356156073412,2.986370995285626
1.3054393305439331,0.3156057266875257,0.2380398127676965,0.16469363308651483,0.11806772015256402,0.3156057266875257,2.989387453646375
1.3556485355648535,0.32011948925428513,0.23803962752078522,0.16756740800504127,0.11806761456738658,0.32011948925428513,2.9922612285649013
1.405857740585774,0.32439304673238745,0.23803944231517674,0.1703058893700998,0.11806750900577613,0.32439304673238745,2.9949997099299597
1.4560669456066946,0.32844120395057086,0.23803925715255544,0.17291595815239788,0.11806740346869278,0.32844120395057086,2.997609778712258
1.506276150627615,0.33227768246604905,0.23803907203469415,0.17540410793625422,0.11806729795714684,0.33227768246604905,3.000097928496114
1.5564853556485356,0.3359151201700896,0.2380388869634304,0.1777764078520917,0.11806719247218579,0.3359151201700896,3.0024702284119518
1.606694560669456,0.3393651956157357,0.23803870194067508,0.180038549999945,0.11806708701489861,0.3393651956157357,3.004732370559805
1.6569037656903765,0.3426387265674135,0.23803851696841502,0.18219588472341627,0.11806698158641779,0.3426387265674135,3.0068897052832764
1.707112970711297,0.3457457613829697,0.2380383320487358,0.1842534550816248,0.118066876187932,0.3457457613829697,3.008947275641485
1.7573221757322175,0.3486956117594533,0.23803814718379884,0.18621599570549,0.11806677082067321,0.3486956117594533,3.01090981626535
1.8075313807531384,0.35149692058592624,0.23803796237584127,0.18808795732953182,0.11806666548591639,0.35149692058592624,3.012781777889392
1.8577405857740588,0.3541577335326571,0.23803777762719072,0.18987353644354615,0.11806656018498826,0.3541577335326571,3.014567357003406
1.9079497907949792,0.35668554957923504,0.23803759294027466,0.19157669317057138,0.11806645491927244,0.35668554957923504,3.0162705137304315
1.9581589958158998,0.35908736909866296,0.2380374083176477,0.19320116939471577,0.11806634969022482,0.35908736909866296,3.0178949899545757
2.00836820083682,0.3613697126526914,0.23803722376193345,0.19475048868430622,0.1180662444993408,0.3613697126526914,3.0194443092441663
2.0585774058577404,0.36353867319020644,0.23803703927587871,0.19622798016958196,0.11806613934818595,0.36353867319020644,3.020921800729442
2.1087866108786613,0.3655999392835294,0.23803685486234916,0.19763678412546698,0.11806603423839361,0.3655999392835294,3.022330604685327
2.1589958158995817,0.3675588406895354,0.2380366705243229,0.19897987390785585,0.11806592917166112,0.3675588406895354,3.023673694467716
2.209205020920502,0.36942035715682536,0.23803648626490115,0.2002600537967774,0.1180658241497561,0.36942035715682536,3.0249538743566373
