,x_fit,y_fit
66,0.22926568939022088,0.0006964625700651979
67,0.2346023369891932,0.0006972456530657539
68,0.24006320643606338,0.0006980621534058167
69,0.24565118925911925,0.0006989134933278689
70,0.25136924429313295,0.0006998011552724545
71,0.25722039924606266,0.0007007266843970938
72,0.2632077523022228,0.0007016916911980566
73,0.26933447376277153,0.0007026978542389738
74,0.2756038077243838,0.0007037469229903939
75,0.2820190737969997,0.0007048407207845347
76,0.28858366886155606,0.0007059811478896117
77,0.2953010688686342,0.0007071701847082737
78,0.30217483067897416,0.00070840989510481
79,0.30920859394683103,0.0007097024298659501
80,0.31640608304717066,0.0007110500303002113
81,0.32377110904772466,0.0007124550319809062
82,0.3313075717269496,0.0007139198686380676
83,0.33901946163895746,0.0007154470762046975
84,0.3469108622265135,0.0007170392970228957
85,0.35498595198321703,0.0007186992842155741
86,0.36324900666601223,0.000720429906229609
87,0.37170440155920004,0.0007222341515564299
88,0.3803566137911493,0.0007241151336361864
89,0.3892102247049347,0.0007260760959517765
90,0.398269922284156,0.000728120417319153
91,0.40754050363522354,0.0007302516173804604
92,0.4170268775274247,0.0007324733623066697
93,0.42673406699211475,0.0007347894707165097
94,0.43666721198241043,0.0007372039198185872
95,0.4468315720947931,0.0007397208517836955
96,0.457232529354063,0.0007423445803543954
97,0.46787559106311905,0.00074507959769902
98,0.47876639271907434,0.000747930581517319
99,0.48991070099724915,0.0007509024024049897
100,0.5013144168046234,0.0007540001314843658
101,0.5129835784043649,0.0007572290483085299
102,0.5249243646130868,0.0007605946490460825
103,0.5371430980725297,0.0007641026549537514
104,0.5496462485973964,0.0007677590211439267
105,0.5624404366011186,0.0007715699456540886
106,0.5755324366013608,0.0007755418788249302
107,0.5889291808071268,0.0007796815329937711
108,0.6026377627893602,0.000783995892509605
109,0.6166654412369885,0.0007884922240758153
110,0.6310196438003967,0.0007931780874262379
111,0.6457079710243626,0.0007980613463398096
112,0.6607382003725465,0.0008031501799985639
113,0.6761182903456509,0.0008084530946931457
114,0.6918563846954473,0.0008139789358793816
115,0.7079608167368872,0.0008197369005886863
116,0.7244401137605896,0.0008257365501942535
117,0.74130300154804,0.0008319878235340332
118,0.758558408991885,0.0008385010503904329
119,0.7762154728237813,0.0008452869653255033
120,0.7942835424522883,0.0008523567218690427
121,0.812772184913379,0.0008597219070555999
122,0.83169118993618,0.0008673945563047274
123,0.8510505751266297,0.0008753871686370606
124,0.8708605912717988,0.0008837127222168252
125,0.8911317277676746,0.0008923846902092176
126,0.9118747181732958,0.0009014170569387426
127,0.9331005458941645,0.000910824334332
128,0.9548204499979589,0.0009206215786255995
129,0.9770459311656119,0.0009308244073168048
130,0.9997887577809187,0.0009414490163311808
131,1.023060972161893,0.0009525121973778976
132,1.0468748969371668,0.0009640313554594268
133,1.0712431415708208,0.0009760245264981524
134,1.0961786090390868,0.0009885103950378457
135,1.1216945026624736,0.001001508311973068
136,1.1478043330969159,0.0010150383122542882
137,1.1745219254876633,0.001029121132510876
138,1.2018614267896908,0.0010437782285280866
139,1.229837313258502,0.0010590317925077294
140,1.2584643981153065,0.0010749047700353562
141,1.2877578393906088,0.001091420876669516
142,1.3177331479503853,0.001108604614060922
143,1.3484061957090776,0.0011264812855012012
144,1.3797932240337665,0.001145077010792302
145,1.411910852343972,0.0011644187403185785
146,1.4447760869116253,0.00118453426819408
147,1.478406329865888,0.0012054522443476503
148,1.5128193884075676,0.0012272021853980974
149,1.5480334842380292,0.0012498144841609615
150,1.584067263207575,0.0012733204176172902
151,1.6209398051884154,0.0012977521531634091
152,1.6586706341774586,0.0013231427529489276
153,1.6972797286342522,0.0013495261760982681
154,1.7367875320595774,0.0013769372785988872
155,1.7772149638202672,0.0014054118106271117
156,1.818583430226012,0.0014349864110703317
157,1.8609148358639833,0.00146569859899214
158,1.90423159519731,0.0014975867617751638
159,1.9485566444335283,0.0015306901396647857
160,1.99391345366929,0.0015650488064259584
161,2.0403260393177765,0.0016007036458150288
162,2.087818976825373,0.0016376963235590375
163,2.1364174136843657,0.0016760692545266726
164,2.1861470827485228,0.0017158655647680444
165,2.237034315858632,0.0017571290480950796
166,2.2891060577852067,0.0017999041168707945
167,2.3423898804957206,0.001844235746674332
168,2.3969139977539653,0.001890169414509813
169,2.452707280059217,0.0019377510302309225
170,2.5097992699331644,0.001987026860860347
171,2.5682201975626553,0.002038043447493734
172,2.6280009968065716,0.0020908475144925005
173,2.689173321575299,0.0021454858706886253
174,2.7517695625914538,0.0022020053023481395
175,2.8158228645407655,0.0022604524576686847
176,2.8813671436221675,0.002320873722620552
177,2.9484371055064207,0.002383315087980561
178,3.0170682637127437,0.0024478220074540934
179,3.0872969584132113,0.0025144392468331245
180,3.159160375674867,0.0025832107241971648
181,3.2326965671497208,0.0026541793412299935
182,3.3079444702230956,0.002727386805798083
183,3.3849439286309466,0.0028028734460164378
184,3.463735713557117,0.0028806780161145466
185,3.544361545221652,0.002960837494508626
