Time (s),[ps],[e_ps],[b_ps],[mo],[so],[fa],[ofa],[oeps]
0.0,2e-05,0.0,0.0,0.000281260547270523,0.0,0.00690297607339422,0.0,0.0
180.7531380753138,2.20807578327495e-06,1.7791923938286708e-05,2.777851742923102e-13,0.00027879538069060044,2.465166579923075e-06,0.0057469893126178935,0.0011559867607763307,14.09061719647334
361.5062761506276,2.2080757525265227e-06,1.7791923690596775e-05,5.555703447049525e-13,0.00027879536069396854,2.465186576554969e-06,0.004784572573092183,0.0021184035003020403,28.1813614487319
542.2594142259414,2.2080757217793995e-06,1.7791923442905537e-05,8.333555112493982e-13,0.0002787953440513824,2.465203219141091e-06,0.003983320256401711,0.0029196558169925133,42.27221012143989
723.0125523012553,2.2080756910333626e-06,1.7791923195213215e-05,1.1111406739257978e-12,0.00027879533020123585,2.4652170692876923e-06,0.003316243099774232,0.003586732973619992,56.36314569535075
903.7656903765691,2.20807566028823e-06,1.7791922947519984e-05,1.3889258327342759e-12,0.00027879531867587543,2.4652285946481855e-06,0.002760868083078528,0.0041421079903156965,70.45415358279737
1084.5188284518829,2.20807562954385e-06,1.7791922699826005e-05,1.6667109876749364e-12,0.00027879530908642825,2.4652381840953447e-06,0.0022985087505937394,0.004604467322800484,84.54522165404427
1265.2719665271966,2.208075598800097e-06,1.7791922452131396e-05,1.944496138747866e-12,0.0002787953011086565,2.465246161867135e-06,0.0019135850796707244,0.0049893909937235,98.63633979580023
1446.0251046025105,2.2080755680568655e-06,1.779192220443627e-05,2.2222812859531363e-12,0.0002787952944724787,2.4652527980448585e-06,0.0015931197139208504,0.005309856359473374,112.72749958421522
1626.7782426778244,2.208075537314069e-06,1.7791921956740704e-05,2.5000664292908082e-12,0.0002787952889533177,2.4652583172059758e-06,0.0013263220076251987,0.005576654065769026,126.81869401487508
1807.5313807531381,2.208075506571633e-06,1.7791921709044777e-05,2.777851568760931e-12,0.00027879528436413215,2.465262906391485e-06,0.0011042050705161247,0.005798771002878101,140.90991725421725
1988.2845188284518,2.2080754758294995e-06,1.7791921461348552e-05,3.0556367043635456e-12,0.0002787952805491539,2.465266721369677e-06,0.0009192847187532292,0.0059836913546409964,155.00116444411483
2169.0376569037658,2.2080754450876157e-06,1.7791921213652076e-05,3.3334218360986874e-12,0.0002787952773787525,2.4652698917710885e-06,0.0007653326931568616,0.006137643380237363,169.0924315416859
2349.7907949790797,2.2080754143459406e-06,1.7791920965955393e-05,3.6112069639663854e-12,0.0002787952747449891,2.4652725255345114e-06,0.0006371630007828016,0.006265813072611423,183.18371518060312
2530.543933054393,2.20807538360444e-06,1.779192071825853e-05,3.888992087966663e-12,0.00027879527255798777,2.465274712535895e-06,0.0005304575316276369,0.006372518541766589,197.27501255789872
2711.297071129707,2.2080753528630834e-06,1.7791920470561527e-05,4.166777208099541e-12,0.00027879527074293613,2.465276527587518e-06,0.0004416219420207141,0.006461354131373511,211.3663213404155
2892.050209205021,2.208075322121848e-06,1.7791920222864404e-05,4.4445623243650354e-12,0.00027879526923754635,2.4652780329773196e-06,0.0003676636379314184,0.006535312435462807,225.45763958560352
3072.803347280335,2.208075291380712e-06,1.7791919975167176e-05,4.72234743676316e-12,0.00027879526798995805,2.4652792805655602e-06,0.0003060910318148395,0.006596885041579385,239.54896567612556
3253.556485355649,2.2080752606396595e-06,1.7791919727469863e-05,5.000132545293927e-12,0.0002787952669569996,2.4652803135240084e-06,0.0002548299780339782,0.006648146095360246,253.6402982656141
3434.3096234309623,2.208075229898676e-06,1.7791919479772485e-05,5.2779176499573445e-12,0.0002787952661027273,2.46528116779633e-06,0.0002121536043873039,0.006690822469006921,267.7316362331233
3615.0627615062763,2.208075199157751e-06,1.7791919232075044e-05,5.555702750753421e-12,0.00027879526539721644,2.4652818733072173e-06,0.00017662421823292797,0.006726351855161297,281.8229786454193
3795.81589958159,2.2080751684168747e-06,1.779191898437756e-05,5.833487847682165e-12,0.0002787952648155547,2.465282454968937e-06,0.00014704494536166404,0.006755931128032562,295.9143247255884
3976.5690376569037,2.208075137676038e-06,1.7791918736680042e-05,6.111272940743579e-12,0.000278795264337001,2.4652829335226576e-06,0.00012241930829936682,0.006780556765094859,310.00567382679776
4157.322175732218,2.208075106935235e-06,1.7791918488982482e-05,6.38905802993767e-12,0.0002787952639442879,2.4652833262357917e-06,0.00010191772227260743,0.006801058351121618,324.0970254105482
4338.0753138075315,2.208075076194459e-06,1.7791918241284898e-05,6.666843115264443e-12,0.00027879526362304,2.4652836474837354e-06,8.4849545750924e-05,0.006818126527643302,338.18837902853113
4518.828451882845,2.208075045453707e-06,1.7791917993587287e-05,6.9446281967239e-12,0.00027879526336128875,2.465283909234979e-06,7.063977375780354e-05,0.006832336299636422,352.2797343074998
4699.581589958159,2.2080750147129738e-06,1.7791917745889663e-05,7.22241327431604e-12,0.0002787952631490704,2.465284121453334e-06,5.8809713021462916e-05,0.006844166360372763,366.371090936725
4880.334728033473,2.208074983972258e-06,1.7791917498192018e-05,7.500198348040871e-12,0.0002787952629780898,2.4652842924339334e-06,4.8960839243111426e-05,0.006854015234151116,380.46244865751737
5061.087866108786,2.208074953231553e-06,1.779191725049436e-05,7.77798341789839e-12,0.00027879526284144065,2.4652844290830275e-06,4.076135455749624e-05,0.006862214718836731,394.5538072545003
5241.841004184101,2.2080749224908606e-06,1.779191700279669e-05,8.0557684838886e-12,0.0002787952627333736,2.46528453715003e-06,3.3935039792534054e-05,0.006869041033601693,408.6451665483748
