exposure (J/cm²),oxidation,excitation,log10-oxidation,log10-excitation,inactivation,log10-inactivation
1.4545454545454548,0.49800565569288285,0.9901222656411613,0.29930117578336085,2.005342657466007,0.9966386082949792,2.473480875981321
2.9090909090909096,0.7480155871871527,0.9901222656416054,0.5986263228642309,2.0053426574855324,0.9999537593978923,4.334976519519684
4.363636363636364,0.8735142317445657,0.9901222656418284,0.8979583370639663,2.005342657495334,0.9999962354558463,5.424287604722581
5.818181818181819,0.9365098582691046,0.9901222656419403,1.1972937034363254,2.0053426575002544,0.999999357967197,6.192442782192252
7.2727272727272725,0.9681312617357166,0.9901222656419966,1.4966351306180972,2.0053426575027293,0.9999998315183931,6.773447504068702
8.727272727272728,0.9840036074453617,0.9901222656420247,1.7959779467352301,2.0053426575039643,0.9999999389783869,7.214516316041937
10.181818181818183,0.991970687365742,0.9901222656420389,2.095321631798045,2.005342657504589,0.9999999705631691,7.531108947504854
11.636363636363638,0.995969728671463,0.990122265642046,2.3946657150202406,2.0053426575049014,0.9999999816866304,7.7372317396182915
13.090909090909092,0.9979770274155393,0.9901222656420497,2.6940100027942515,2.0053426575050675,0.9999999861648594,7.859016423324819
14.545454545454545,0.9989845802337507,0.9901222656420513,2.99335438683505,2.005342657505136,0.9999999881636029,7.926780473657133
16.000000000000004,0.9994903157855493,0.9901222656420523,3.292698816839185,2.00534265750518,0.9999999891319001,7.963846379602396
17.454545454545457,0.9997441668857934,0.9901222656420529,3.5920432425530833,2.005342657505204,0.9999999896333801,7.984362825084217
18.909090909090914,0.9998715860151678,0.990122265642053,3.8913876771649067,2.0053426575052087,0.9999999899079016,7.996018524569433
20.363636363636367,0.999935543330675,0.990122265642053,4.190732139580064,2.0053426575052087,0.999999990065379,8.00284869567559
21.818181818181817,0.9999676463422393,0.9901222656420532,4.490076612816849,2.0053426575052185,0.999999990159403,8.00697855323052
23.272727272727277,0.999983760165134,0.9901222656420532,4.789418391175935,2.0053426575052185,0.9999999902175194,8.009551004543255
24.72727272727273,0.99999184820077,0.9901222656420532,5.088746525074878,2.0053426575052185,0.9999999902545443,8.011197849924622
26.181818181818183,0.9999959081277636,0.9901222656420532,5.388077935053288,2.0053426575052185,0.99999999027877,8.012278779604298
27.63636363636364,0.9999979460489965,0.9901222656420532,5.687409920604061,2.0053426575052185,0.9999999902950006,8.013004488928523
29.09090909090909,0.999998968986609,0.9901222656420532,5.986735693981704,2.0053426575052185,0.9999999903061076,8.013501807150073
30.545454545454547,0.9999994822377216,0.9901222656420532,6.285869593310396,2.0053426575052185,0.9999999903138544,8.013849009160397
32.00000000000001,0.9999997400132454,0.9901222656420532,6.5850487772751505,2.0053426575052185,0.9999999903193514,8.014095543421003
33.45454545454546,0.9999998694457479,0.9901222656420532,6.884208978893016,2.0053426575052185,0.9999999903233135,8.014273330905622
34.909090909090914,0.9999999344465592,0.9901222656420532,7.183404508009361,2.0053426575052185,0.9999999903262105,8.014403364899483
36.36363636363637,0.9999999669978479,0.9901222656420532,7.481457738172916,2.0053426575052185,0.9999999903283563,8.014499710745573
37.81818181818183,0.9999999833040061,0.9901222656420532,7.7773877220758045,2.0053426575052185,0.9999999903299652,8.014571964214637
39.27272727272727,0.9999999915829707,0.9901222656420532,8.074841161244029,2.0053426575052185,0.9999999903311849,8.01462674566049
