,variable,value
0,fa_gL_conc,8.4772E-1
1,fa_molar,6.8231E-3
2,cell_radius_m,6.0676E-5
3,membrane_cub_m,3.7006E-16
4,fa_mass_proportion,2.9934E-28
5,photosensitizer_molar,1.8000E-8
6,photosensitizers,2.6507E13
7,molecular_volume_cub_m,1.2674E-27
8,volume_proportion,1.3739E-8
9,photon_moles_per_timestep,3.4287E-6
10,dissolved_mo_molar,2.8799E-1
11,e_ps_decay_time_s,8.2500E-9
12,ps_excitation_s,5.0000E-14
13,hv_photobleaching_s,6.25e+17
14,so_qy,4.8000E-1
15,e_ps_charge_transfer_s,2.0000E-8
16,so_decay_time_s,3.7500E-5
17,k_fa,6.5190E2
18,simulation_path,C:\Users\Andrew Freiburger\Dropbox\My PC (DESKTOP-M302P50)\Documents\UVic Civil Engineering\PDIpy\PDIpy\examples\custom
