Time (s),[ps],[e_ps],[so],[b_ps],[fa],[ofa]
0.0,5e-06,0.0,0.0,0.0,0.0109764263757248,0.0
180.7531380753138,1.9785704048608593e-06,3.0211678178125024e-06,3.051138016224126e-07,2.617773076348823e-10,0.00792931298766279,0.0036982227962565036
361.5062761506276,1.9784667346618207e-06,3.0210095191397684e-06,3.053139558072572e-07,5.237462274134603e-10,0.0057263180956054665,0.006371503363576408
542.2594142259414,1.9783630125608663e-06,3.0208511412156722e-06,3.054543099780548e-07,7.858461716491503e-10,0.004134491383379022,0.008302916186752598
723.0125523012553,1.978259256018571e-06,3.0206927107015493e-06,3.055513236210768e-07,1.0480332273199725e-09,0.002984709433432275,0.009697866802205793
903.7656903765691,1.9781554775741402e-06,3.0205342467440723e-06,3.0561696197264554e-07,1.3102756015835533e-09,0.0021544698236002496,0.01070508152692197
1084.5188284518829,1.9780516863578465e-06,3.0203757632846693e-06,3.0565991213368975e-07,1.5725502798559104e-09,0.0015550612929390959,0.011432233434953342
1265.2719665271966,1.977947888936942e-06,3.0202172703511664e-06,3.0568646450627045e-07,1.8348406333915023e-09,0.0011223666295146156,0.01195712944188501
1446.0251046025105,1.9778440900672553e-06,3.020058775205453e-06,3.057011710169484e-07,2.0971346482236487e-09,0.0008100490370704722,0.012335992209207253
1626.7782426778244,1.9777402931831515e-06,3.0199002830916155e-06,3.0570732349028176e-07,2.3594236468243958e-09,0.000584630553907118,0.012609438395786786
1807.5313807531381,1.9776365007623184e-06,3.0197417977929444e-06,3.057073002143126e-07,2.6217013659295776e-09,0.00042193994228441854,0.012806791473148933
1988.2845188284518,1.977532714594519e-06,3.0195833220423115e-06,3.05702819298456e-07,2.883963284555966e-09,0.0003045234880576632,0.012949224619614888
2169.0376569037658,1.977428935970193e-06,3.019424857810148e-06,3.056951212616073e-07,3.1462061409692445e-09,0.00021978324678145948,0.013052020010770478
2349.7907949790797,1.977325165820673e-06,3.019266406518544e-06,3.056851017379648e-07,3.408427582114786e-09,0.00015862562559427855,0.013126208618031031
2530.543933054393,1.9772214048174533e-06,3.019107969192837e-06,3.056734072209119e-07,3.670625911040912e-09,0.00011448753220591727,0.013179751714650348
2711.297071129707,1.9771176534446966e-06,3.018949546572313e-06,3.056605043392978e-07,3.932799904317521e-09,8.263233058209546e-05,0.013218394995856518
2892.050209205021,1.9770139120513238e-06,3.01879113918976e-06,3.056467298610436e-07,4.194948680247361e-09,5.9641595712173174e-05,0.013246285126040269
3072.803347280335,1.976910180888646e-06,3.018632747428912e-06,3.056323268360846e-07,4.457071603769916e-09,4.304834181452527e-05,0.013266414650134168
3253.556485355649,1.9768064601375526e-06,3.0184743715659784e-06,3.056174706676182e-07,4.719168217798587e-09,3.107218767402152e-05,0.013280943249921677
3434.3096234309623,1.976702749928098e-06,3.018316011799548e-06,3.0560228793794745e-07,4.981238193683236e-09,2.242827005602914e-05,0.013291429532343973
3615.0627615062763,1.9765990503536667e-06,3.0181576682722088e-06,3.0558686999869763e-07,5.2432812954531616e-09,1.6189309532903222e-05,0.01329899834583485
3795.81589958159,1.9764953614811703e-06,3.0179993410861354e-06,3.0557128277499623e-07,5.505297354022422e-09,1.1686099785149425e-05,0.013304461487200004
3976.5690376569037,1.9763916833584235e-06,3.017841030314335e-06,3.055555738434366e-07,5.76728624856961e-09,8.43567135571925e-06,0.013308404839791838
4157.322175732218,1.9762880160194557e-06,3.01768273600877e-06,3.055397775393254e-07,6.029247893102726e-09,6.089456832071656e-06,0.013311251250044766
4338.0753138075315,1.9761843594883496e-06,3.0175244582062147e-06,3.055239186423049e-07,6.291182226764398e-09,4.3958850318852885e-06,0.013313305901568867
4518.828451882845,1.9760807137820116e-06,3.0173661969324815e-06,3.0550801503589957e-07,6.553089206835758e-09,3.1733867156598126e-06,0.013314789060337076
4699.581589958159,1.975977078912166e-06,3.0172079522054755e-06,3.0549207962701073e-07,6.8149688036877376e-09,2.2909129753103555e-06,0.013315859706563571
