Time (s),[ps],[e_ps],[mo],[so],[b_ps],[fa],[ofa]
0.0,1.8e-08,0.0,0.000281260547270523,0.0,0.0,0.0109764186692521,0.0
180.7531380753138,5.282333081283001e-09,1.2717666139748088e-08,0.00028125947433599763,1.072933746165746e-09,7.789689029685874e-16,0.01097566921099226,7.494582598366824e-07
361.5062761506276,5.282332852684449e-09,1.271766558937763e-08,0.00028125947433525446,1.0729337103451774e-09,1.5579379103482081e-15,0.01097491980159667,1.498867655426074e-06
542.2594142259414,5.2823326240859145e-09,1.2717665039007218e-08,0.0002812594743345113,1.0729336745239076e-09,2.3369068582030637e-15,0.0109741704432287,2.2482260233955385e-06
723.0125523012553,5.282332395487398e-09,1.2717664488636847e-08,0.00028125947433376813,1.0729336387019167e-09,3.1158757464104297e-15,0.010973421135988235,2.997533263861539e-06
903.7656903765691,5.282332166888899e-09,1.2717663938266517e-08,0.00028125947433302496,1.0729336028792036e-09,3.894844574901777e-15,0.010972671879930089,3.74678932200751e-06
1084.5188284518829,5.282331938290416e-09,1.271766338789623e-08,0.0002812594743322818,1.07293356705577e-09,4.673813343753897e-15,0.010971922674990794,4.495994261303727e-06
1265.2719665271966,5.282331709691952e-09,1.2717662837525987e-08,0.00028125947433153863,1.0729335312316127e-09,5.452782052802112e-15,0.01097117352127656,5.245147975536665e-06
1446.0251046025105,5.2823314810935045e-09,1.2717662287155783e-08,0.00028125947433079547,1.0729334954067337e-09,6.231750702157723e-15,0.010970424418715603,5.99425053649391e-06
1626.7782426778244,5.282331252495076e-09,1.2717661736785623e-08,0.0002812594743300523,1.072933459581133e-09,7.010719291820732e-15,0.010969675367307922,6.743301944175461e-06
1807.5313807531381,5.282331023896663e-09,1.2717661186415505e-08,0.00028125947432930913,1.0729334237548105e-09,7.789687821791137e-15,0.010968926367053516,7.492302198581319e-06
1988.2845188284518,5.282330795298269e-09,1.2717660636045429e-08,0.00028125947432856597,1.0729333879277665e-09,8.568656292068937e-15,0.010968177417952385,8.241251299711481e-06
2169.0376569037658,5.2823305666998916e-09,1.2717660085675395e-08,0.0002812594743278228,1.0729333521000002e-09,9.34762470252218e-15,0.010967428519962151,8.990149289946221e-06
2349.7907949790797,5.282330338101532e-09,1.2717659535305404e-08,0.00028125947432707963,1.072933316271512e-09,1.0126593053260966e-14,0.01096667967311817,9.738996133925306e-06
2530.543933054393,5.282330109503191e-09,1.2717658984935455e-08,0.00028125947432633647,1.072933280442302e-09,1.09055613442856e-14,0.010965930877420546,1.048779183154986e-05
2711.297071129707,5.282329880904866e-09,1.2717658434565547e-08,0.0002812594743255933,1.0729332446123702e-09,1.1684529575596079e-14,0.010965182132869277,1.123653638281988e-05
2892.050209205021,5.28232965230656e-09,1.2717657884195682e-08,0.00028125947432485013,1.0729332087817166e-09,1.2463497747192407e-14,0.010964433439464362,1.198522978773537e-05
3072.803347280335,5.282329423708271e-09,1.271765733382586e-08,0.00028125947432410697,1.0729331729503413e-09,1.3242465859074582e-14,0.010963684797205801,1.273387204629633e-05
