,variable,value
0,fa_gL_conc,8.4772E-1
1,fa_molar,6.8231E-3
2,cell_radius_m,6.0676E-5
3,membrane_cub_m,1.8504E-16
4,fa_mass_proportion,1.4968E-28
5,photosensitizer_molar,5.0000E-6
6,photosensitizers,7.3630E15
7,molecular_volume_cub_m,1.2674E-27
8,volume_proportion,3.8164E-6
9,photon_moles_per_timestep,2.6205E-6
10,hv_photobleaching_s,1.6667E6
11,so_decay_time_s,6.0000E-5
12,k_fa,6.5190E2
13,simulation_path,"C:\Users\Andrew Freiburger\Dropbox\My PC (DESKTOP-M302P50)\Documents\UVic Civil Engineering\PDIpy\PDIpy\examples\Beirao_et_al\Beirao_et_al, 5 uM solution-0"
