,variable,value
0,simulation_path,C:\Users\Andrew Freiburger\Dropbox\My PC (DESKTOP-M302P50)\Documents\UVic Civil Engineering\PDIpy\PDIpy\examples\surface_system-1
1,fa_g/L_conc,0.84772
2,fa_molar,0.0009349450174244476
3,center_porphyrin_length,6.115819212738726e-10
4,sp2_extension,6.102500000000001e-10
5,sp3_diazirine,7.198734239946551e-10
6,linked_sp3_diazirine,5.85873423994655e-10
7,photosensitizers,3.665361918132831e+16
8,molecular_volume (m^3),1.1599509408023872e-27
9,volume_proportion,70.890520688356
10,photon_moles_per_timestep,0.00021128599811696939
11,dissolved_mo_molar,2.812605472705227e-07
12,e_ps_decay_time (s),1.5000000000000002e-09
13,ps_excitation (s),5e-14
14,hv_photobleaching,2.7021176470588236e-08
15,so_qy,0.48
16,e_ps_charge_transfer (s),5.000000000000001e-07
17,so_decay_time (s),1.03000300030003e-05
18,so_rise_time (s),2e-06
19,k_fa,651.8966800000001
