time (hr),oxidation,excitation,log10-oxidation,log10-excitation,inactivation,log10-inactivation
0.0502092050209205,0.19028033578876818,0.8841587520316359,0.09166531366351514,0.9361367724275335,0.19028033578876818,4.304423602485167
0.100418410041841,0.3367185747360175,0.8841289608656315,0.17830216464690965,0.9360250982540297,0.3367185747360175,4.391060453468562
0.1506276150627615,0.4517601172375461,0.8840991673225966,0.26102937406171234,0.9359134438819394,0.4517601172375461,4.473787662883364
0.200836820083682,0.5436068264383931,0.8840693720068992,0.3406608601054816,0.9358018115674313,0.5436068264383931,4.553419148927134
0.2510460251046025,0.6178845659191909,0.884039575439942,0.41780542030489876,0.9356902032536315,0.6178845659191909,4.630563709126551
0.301255230125523,0.6785798548041758,0.8840097780709962,0.4929269070586579,0.935578620611587,0.6785798548041758,4.70568519588031
0.3514644351464435,0.7285987905344287,0.8839799802879723,0.5663882212928871,0.9354670650809358,0.7285987905344287,4.779146510114539
0.401673640167364,0.770108444591237,0.8839501824254002,0.6384769813480903,0.9353555379000665,0.770108444591237,4.8512352701697425
0.4518828451882846,0.8047561440678335,0.8839203847714769,0.7094226239128417,0.9352440401327445,0.8047561440678335,4.922180912734493
0.502092050209205,0.8338160299645037,0.8838905875746765,0.7794108702082212,0.9351325726930606,0.8338160299645037,4.992169159029873
0.5523012552301255,0.8582882714160889,0.8838607910492983,0.8485942044562634,0.935021136366369,0.8582882714160889,5.061352493277916
0.602510460251046,0.8789677052590944,0.8838309953800872,0.9170987325230652,0.9349097318267272,0.8789677052590944,5.129857021344717
0.6527196652719666,0.8964926197930813,0.8838012007262039,0.9850286833580721,0.9347983596518749,0.8964926197930813,5.197786972179724
0.702928870292887,0.9113804377977591,0.8837714072247626,1.0524703997977563,0.9346870203365784,0.9113804377977591,5.265228688619408
0.7531380753138075,0.9240541874343867,0.8837416149939343,1.1194961668937846,0.9345757143043302,0.9240541874343867,5.332254455715437
0.803347280334728,0.9348622309929187,0.8837118241355766,1.1861671202646409,0.9344644419172583,0.9348622309929187,5.398925409086293
0.8535564853556485,0.9440931525759746,0.8836820347374567,1.2525349968300727,0.9343532034845088,0.9440931525759746,5.4652932856517245
0.9037656903765692,0.9519872593080387,0.8836522468751828,1.3186435026660572,0.9342419992695212,0.9519872593080387,5.531401791487709
0.9539748953974896,0.9587455774788404,0.8836224606138808,1.3845294877544758,0.9341308294963432,0.9587455774788404,5.5972877765761275
1.00418410041841,0.9645369838200413,0.8835926760096565,1.45022432980092,0.934019694355138,0.9645369838200413,5.662982618622572
1.0543933054393306,0.9695038451006975,0.8835628931108424,1.515754915121599,0.9339085940068775,0.9695038451006975,5.728513203943251
1.104602510460251,0.9737665274333097,0.8835331119590646,1.5811442173497408,0.9337975285873583,0.9737665274333097,5.793902506171393
1.1548117154811717,0.9774270549833577,0.8835033325901669,1.646411776277155,0.9336864982106777,0.9774270549833577,5.859170065098807
1.205020920502092,0.9805721050971118,0.8834735550350118,1.7115742545514396,0.9335755029722482,0.9805721050971118,5.924332543373092
1.2552301255230125,0.9832754656133735,0.883443779320171,1.7766459642108792,0.9334645429513935,0.9832754656133735,5.989404253032531
1.3054393305439331,0.9856000569523674,0.8834140054685168,1.8416392255539038,0.9333536182135718,0.9856000569523674,6.054397514375555
1.3556485355648535,0.987599608361336,0.8833842334997333,1.9065645984002848,0.9332427288122987,0.987599608361336,6.119322887221937
1.405857740585774,0.9893200580695691,0.8833544634307559,1.9714311086709457,0.9331318747907972,0.9893200580695691,6.184189397492598
1.4560669456066946,0.990800727181274,0.8833246952761523,2.036246501273615,0.9330210561834301,0.990800727181274,6.249004790095267
1.506276150627615,0.9920753051713608,0.8832949290484495,2.101017452995367,0.9329102730169271,0.9920753051713608,6.313775741817019
1.5564853556485356,0.9931726796150679,0.8832651647584157,2.1657497165795094,0.932799525311444,0.9931726796150679,6.378508005401161
1.606694560669456,0.9941176377051489,0.8832354024153033,2.2304482307964486,0.9326888130814763,0.9941176377051489,6.4432065196181005
1.6569037656903765,0.9949314612793668,0.8832056420270584,2.295117231404188,0.9325781363366421,0.9949314612793668,6.50787552022584
1.707112970711297,0.99563243240361,0.8831758836005011,2.3597603647624323,0.9324674950823615,0.99563243240361,6.572518653584084
1.7573221757322175,0.9962362634069938,0.8831461271414813,2.4243807784984575,0.9323568893204395,0.9962362634069938,6.63713906732011
1.8075313807531384,0.9967564633074383,0.8831163726550133,2.4889811847425576,0.9322463190495717,0.9967564633074383,6.70173947356421
1.8577405857740588,0.9972046506835898,0.8830866201453903,2.553563913462658,0.932135784265773,0.9972046506835898,6.76632220228431
1.9079497907949792,0.9975908212016483,0.8830568696162844,2.618130967433796,0.9320252849627522,0.9975908212016483,6.830889256255448
1.9581589958158998,0.9979235765437569,0.8830271210708327,2.6826840737734297,0.9319148211322352,0.9979235765437569,6.895442362595082
2.00836820083682,0.9982103204469839,0.882997374511711,2.7472247236655445,0.9318043927642408,0.9982103204469839,6.959983012487196
2.0585774058577404,0.9984574267408365,0.8829676299411976,2.811754201495722,0.9316939998473189,0.9984574267408365,7.024512490317374
2.1087866108786613,0.998670383393929,0.8829378873612279,2.876273569462516,0.9315836423687568,0.998670383393929,7.089031858284168
2.1589958158995817,0.9988539166941969,0.8829081467734424,2.9407838134893196,0.9314733203147568,0.9988539166941969,7.153542102310972
2.209205020920502,0.9990120971314853,0.882878408179227,3.0052857535315916,0.9313630336705883,0.9990120971314853,7.2180440423532435
2.2594142259414225,0.9991484308837077,0.8828486715797483,3.069780097429899,0.9312527824207192,0.9991484308837077,7.2825383862515505
