Time (s),[ps],[e_ps],[mo],[so],[fa],[ofa]
0.0,237329.457756178,0.0,2.81260547270523e-07,0.0,0.00100531722303704,0.0
603.0150753768844,233567.10674143632,3762.3510147442935,5537323.519257445,-2.0309248107197532e-05,5537323.520245179,-5537323.519240022
1206.0301507537688,229864.39975617136,7465.058000009366,2790777.060417842,-2.0312616229685973e-05,2790777.061405574,-2790777.060400417
1809.0452261306532,226220.39127201424,11109.066484166411,1875343.9505806088,-2.031373942278771e-05,1875343.9515683397,-1875343.9505631828
2412.0603015075376,222634.15074982247,14695.307006358198,1417687.5243022852,-2.0314301090389826e-05,1417687.5252900156,-1417687.524284859
3015.075376884422,219104.76231725074,18224.695438929903,1143137.9852027465,-2.0314638099187935e-05,1143137.9861904774,-1143137.9851853207
3618.0904522613064,215631.32487510354,21698.132881077156,960144.3264442768,-2.0314862281612e-05,960144.3274320078,-960144.3264268511
4221.10552763819,212212.9513549075,25116.50640127315,829467.3475916758,-2.0315014126348547e-05,829467.3485794064,-829467.3475742497
4824.120603015075,208848.76884018758,28480.68891599309,731489.9709314599,-2.0315142753428796e-05,731489.9719191898,-731489.9709140331
5427.13567839196,205537.91826331645,31791.539492864267,655310.526640475,-2.0315236212759803e-05,655310.5276282046,-655310.5266230479
6030.150753768844,202279.55414501278,35049.90361116789,594390.3491738477,-2.03153109620814e-05,594390.350161577,-594390.3491564203
6633.165829145728,199072.84442120118,38256.61333497948,544568.3586618693,-2.0315372086716023e-05,544568.3596495981,-544568.3586444415
7236.180904522613,195916.97022193676,41412.48753424387,503068.9547621535,-2.0315422972628054e-05,503068.9557498814,-503068.95474472473
7839.195979899498,192811.12567227872,44518.33208390187,467971.96266485634,-2.0315465975850693e-05,467971.963652584,-467971.96264742734
8442.21105527638,189754.5176198677,47574.94013631292,437905.6230668378,-2.031550279461625e-05,437905.62405456515,-437905.6230494085
9045.226130653265,186746.3655389806,50583.09221719997,411863.1117335834,-2.0315534943180892e-05,411863.1127213112,-411863.11171615456
9648.24120603015,183785.90127721085,53543.5564789697,389091.35261006013,-2.0315562814551783e-05,389091.3535977888,-389091.3525926322
10251.256281407035,180872.36890322476,56457.08885295579,369011.86675291776,-2.031558739522868e-05,369011.86774064606,-369011.86673548946
10854.27135678392,178005.02436454265,59324.43339163793,351176.32296853076,-2.0315609264915172e-05,351176.3239562595,-351176.322951103
11457.286432160803,175183.13543970362,62146.322316476944,335230.39124878315,-2.0315628820189395e-05,335230.3922365119,-335230.3912313554
12060.301507537688,172405.98152767387,64923.476228506705,320890.6163500572,-2.0315646403845345e-05,320890.61733778607,-320890.6163326295
12663.316582914573,169672.8534460201,67656.60431016049,307928.0544538854,-2.0315662283792357e-05,307928.0554416141,-307928.0544364576
13266.331658291456,166983.05322081904,70346.40453536164,296153.69648232596,-2.0315676777408086e-05,296153.69747005566,-296153.6964648991
13869.34673366834,164335.89404854298,72993.56370763772,285413.3057442952,-2.0315689931494407e-05,285413.3067320249,-285413.30572686833
14472.361809045226,161730.6999536097,75598.757802571,275577.9586981535,-2.0315702021984684e-05,275577.9596858828,-275577.95868072624
15075.37688442211,159166.8056405044,78162.65211567623,266538.22014738485,-2.0315713156158586e-05,266538.22113511414,-266538.22012995766
15678.391959798995,156643.55638263727,80685.90137354341,258202.89416527114,-2.0315723213363807e-05,258202.89515300054,-258202.89414784405
16281.407035175878,154160.30785031288,83169.14990586776,250493.53759397817,-2.0315732734404386e-05,250493.53858170676,-250493.53757655027
16884.42211055276,151716.42608228093,85613.0316738997,243343.0643239843,-2.0315741504537453e-05,243343.0653117133,-243343.0643065568
17487.437185929648,149311.2873738252,88018.17038235543,236693.6407677891,-2.0315749637660203e-05,236693.64175552066,-236693.64075036417
18090.45226130653,146944.27644504953,90385.18131113112,230495.0297064681,-2.0315757317475825e-05,230495.03069420045,-230495.02968904396
18693.467336683418,144614.78909813528,92714.66865804538,224703.7858077311,-2.0315764284199487e-05,224703.7867954634,-224703.78579030692
19296.4824120603,142322.23087368312,95007.22688249752,219281.5509176699,-2.031577111852178e-05,219281.55190540216,-219281.55090024567
19899.497487437184,140066.01627758154,97263.44147859912,214194.89187485512,-2.0315777095529213e-05,214194.8928625872,-214194.89185743072
20502.51256281407,137845.56909227982,99483.88866390084,209414.15178424236,-2.031578289962628e-05,209414.15277197422,-209414.15176681773
21105.527638190953,135660.32230651198,101669.13544966865,204913.0552576617,-2.031578885286172e-05,204913.05624539306,-204913.05524023657
21708.54271356784,133509.7179268764,103819.73982930424,200668.41920152996,-2.0315794242819806e-05,200668.4201892607,-200668.41918410422
22311.557788944723,131393.20679179332,105936.2509643873,196659.3404791833,-2.0315798870613454e-05,196659.3414669156,-196659.3404617591
22914.572864321606,129310.24842990807,108019.20932627257,192867.05170754757,-2.031580339107228e-05,192867.05269528096,-192867.05169012447
23517.587939698493,127260.310927787,110069.14682839364,189274.8688228779,-2.031580810571679e-05,189274.86981061232,-189274.86880545583
24120.603015075376,125242.87079631985,112086.58695986078,185868.10540390297,-2.031581255049384e-05,185868.10639163788,-185868.1053864814
24723.61809045226,123257.41286560756,114072.04489057307,182633.08908198602,-2.031581621931191e-05,182633.09006972093,-182633.08906456444
25326.633165829146,121303.43012565305,116026.02763052759,179557.28423808527,-2.031581943640536e-05,179557.28522581983,-179557.28422066334
25929.64824120603,119380.42362255689,117949.03413362375,176630.1762223667,-2.0315823412844678e-05,176630.1772101009,-176630.1762049444
26532.66331658291,117487.90229745553,119841.55545872511,173840.5636031815,-2.031582669734441e-05,173840.56459091563,-173840.56358575914
27135.6783919598,115625.38285297182,121704.07490320882,171180.20156778026,-2.0315830005785284e-05,171180.20255551478,-171180.2015503583
