Time (s),[ps],[e_ps],[b_ps],[so],[fa],[ofa]
0.0,1e-06,0.0,0.0,0.0,0.00100531722303704,0.0
63.1578947368421,7.665003127132628e-18,1.2722794625503375e-15,9.999999987199521e-07,1.360748305110881e-20,0.001005317223036827,2.1263832508248115e-16
126.3157894736842,4.674169429884623e-19,1.2722794625503375e-15,9.999999987271498e-07,1.3607483051108837e-20,0.0010053172230366143,4.2527678353104837e-16
189.4736842105263,2.1412533933481832e-19,1.2722794625503375e-15,9.99999998727403e-07,1.3607483051108868e-20,0.0010053172230364016,6.379152419796121e-16
252.6315789473684,7.007372915071235e-22,1.2722794625503377e-15,9.999999987276165e-07,1.3607483051108898e-20,0.001005317223036189,8.505537004279781e-16
315.7894736842105,6.757110048899558e-22,1.2722794625503377e-15,9.999999987276165e-07,1.3607483051108928e-20,0.0010053172230359763,1.0631921588752889e-15
378.9473684210526,6.50684718272788e-22,1.2722794625503377e-15,9.999999987276165e-07,1.3607483051108955e-20,0.0010053172230357638,1.275830617322599e-15
442.10526315789474,6.256584316556204e-22,1.2722794625503377e-15,9.999999987276165e-07,1.3607483051108982e-20,0.0010053172230355511,1.4884690757699082e-15
505.2631578947368,6.006321450384528e-22,1.2722794625503377e-15,9.999999987276165e-07,1.3607483051109012e-20,0.0010053172230353384,1.7011075342172183e-15
568.421052631579,5.756058584212851e-22,1.2722794625503377e-15,9.999999987276165e-07,1.360748305110904e-20,0.0010053172230351259,1.9137459926645283e-15
631.578947368421,5.505795718041175e-22,1.2722794625503377e-15,9.999999987276165e-07,1.3607483051109066e-20,0.0010053172230349132,2.1263844511118383e-15
694.7368421052631,5.255532851869498e-22,1.2722794625503377e-15,9.999999987276167e-07,1.3607483051109096e-20,0.0010053172230347007,2.3390229095591476e-15
757.8947368421052,5.005269985697822e-22,1.2722794625503377e-15,9.999999987276167e-07,1.3607483051109123e-20,0.001005317223034488,2.5516613680064577e-15
821.0526315789473,4.755007119526145e-22,1.2722794625503377e-15,9.999999987276167e-07,1.360748305110915e-20,0.0010053172230342752,2.7642998264537677e-15
884.2105263157895,4.504744253354469e-22,1.2722794625503377e-15,9.999999987276167e-07,1.360748305110918e-20,0.0010053172230340627,2.9769382849010778e-15
947.3684210526316,4.254481387182792e-22,1.2722794625503377e-15,9.999999987276167e-07,1.3607483051109208e-20,0.00100531722303385,3.189576743348387e-15
1010.5263157894736,4.004218521011115e-22,1.2722794625503377e-15,9.999999987276167e-07,1.3607483051109235e-20,0.0010053172230336373,3.4022152017956982e-15
1073.6842105263158,3.7539556548394384e-22,1.2722794625503375e-15,9.999999987276167e-07,1.3607483051109265e-20,0.0010053172230334248,3.614853660243009e-15
1136.842105263158,3.5036927886677614e-22,1.2722794625503375e-15,9.999999987276167e-07,1.3607483051109292e-20,0.001005317223033212,3.827492118690318e-15
1200.0,3.2534299224960853e-22,1.2722794625503375e-15,9.999999987276167e-07,1.360748305110932e-20,0.0010053172230329996,4.040130577137628e-15
