Time (s),[ps],[e_ps],[mo],[so],[b_ps],[fa],[ofa],[eps],[oeps]
0.0,5e-06,0.0,0.000281260547270523,0.0,0.0,0.0109764263757248,0.0,1130.00418265611,0.0
180.7531380753138,3.0466927199050677e-07,4.69530719831028e-06,0.00028108241774247564,1.7810599831795183e-07,2.352969922158753e-11,0.010805901549642378,0.0002461989636769625,1128.632326107846,1.3718565482647191
361.5062761506276,3.046678369864282e-07,4.695285083241471e-06,0.0002810822391128246,1.7826107786601273e-07,4.7079772108361415e-11,0.01063781678167623,0.000488781380841226,1127.2609428728301,2.743239783280247
542.2594142259414,3.046664007393332e-07,4.695262949016352e-06,0.00028108206025073674,1.7841636943180087e-07,7.065024432353401e-11,0.010472140352247437,0.0007277958499531495,1125.890033778478,4.11414887763255
723.0125523012553,3.046649632475243e-07,4.695240795608759e-06,0.00028108188115582737,1.7857187340464795e-07,9.42411437248541e-11,0.01030884083501188,0.0009632904860902812,1124.519599523902,5.4845831322084475
903.7656903765691,3.046635245093077e-07,4.695218622992589e-06,0.00028108170182760414,1.7872759017381138e-07,1.178524981115489e-10,0.010147887489082675,0.001195312318289562,1123.1496408057653,6.854541850345097
1084.5188284518829,3.0466208452298474e-07,4.695196431141664e-06,0.0002810815222656663,1.7888352012863416e-07,1.414843353589089e-10,0.009989249415175106,0.0014239086227950445,1121.7801583227551,8.224024333355294
1265.2719665271966,3.0466064328685605e-07,4.695174220029795e-06,0.0002810813424696769,1.7903966365913983e-07,1.6513668335735801e-10,0.009832896628764291,0.0016491252217151764,1120.4111527724626,9.593029883647915
1446.0251046025105,3.0465920079921686e-07,4.695151989630711e-06,0.0002810811624393035,1.7919602115508258e-07,1.8880957008122122e-10,0.009678798844948868,0.0018710084097646085,1119.042624854911,10.961557801199454
1626.7782426778244,3.046577570583611e-07,4.695129739918115e-06,0.00028108098217404843,1.7935259300622893e-07,2.1250302353214696e-10,0.009526926724325679,0.0020896029789761812,1117.6745752692648,12.329607386845742
1807.5313807531381,3.046563120625786e-07,4.6951074708656545e-06,0.00028108080167349594,1.7950937960238804e-07,2.362170717754281e-10,0.009377250936698337,0.002304953703807028,1116.3070047161586,13.697177939951938
1988.2845188284518,3.0465486581015645e-07,4.695085182446932e-06,0.0002810806209371238,1.7966638133317792e-07,2.599517429198918e-10,0.00922974274183768,0.002517104420720554,1114.9399138963106,15.064268759799928
2169.0376569037658,3.0465341829937864e-07,4.695062874635501e-06,0.0002810804399645894,1.7982359858861818e-07,2.83707065129445e-10,0.009084373578174168,0.0027260986820529256,1113.573303511444,16.430879144666562
2349.7907949790797,3.046519695285259e-07,4.695040547404865e-06,0.0002810802587554794,1.7998103175862024e-07,3.074830666169963e-10,0.008941115313011658,0.002931979356767931,1112.2071742637463,17.797008392364173
2530.543933054393,3.046505194958762e-07,4.695018200728487e-06,0.0002810800773093117,1.8013868123303155e-07,3.3127977564534615e-10,0.008799940206356941,0.0031347886878127403,1110.841526855948,19.162655800162746
2711.297071129707,3.046490681997038e-07,4.694995834579769e-06,0.0002810798956258479,1.8029654740272387e-07,3.550972205352949e-10,0.008660820352138757,0.0033345691947653825,1109.4763619924136,20.52782066369689
2892.050209205021,3.0464761563828035e-07,4.694973448932079e-06,0.00028107971370456013,1.804546306575054e-07,3.789354296500085e-10,0.008523728781136991,0.0035313618920757425,1108.111680376996,21.89250227911453
3072.803347280335,3.0464616180987437e-07,4.694951043758729e-06,0.0002810795315449709,1.8061293138748286e-07,4.0279443140522714e-10,0.008388638737783912,0.0037252074573897818,1106.7474827144415,23.256699941668998
3253.556485355649,3.046447067127513e-07,4.6949286190329905e-06,0.0002810793491465747,1.8077144998274762e-07,4.266742542669128e-10,0.008255523846826157,0.003916145962307871,1105.383769710067,24.62041294604349
3434.3096234309623,3.046432503451731e-07,4.694906174728077e-06,0.00028107916650921386,1.8093018683453646e-07,4.5057492675914603e-10,0.008124357312119782,0.0041042181758820465,1104.0205420712516,25.983640584858943
3615.0627615062763,3.0464179270539903e-07,4.69488371081716e-06,0.0002810789836323876,1.8108914233309698e-07,4.744964774496045e-10,0.00799511338996553,0.004289463167615749,1102.6578005046927,27.34638215141789
3795.81589958159,3.046403337916852e-07,4.694861227273367e-06,0.000281078800515588,1.8124831686872548e-07,4.984389349566235e-10,0.007867766672738825,0.004471919472941322,1101.2955457177402,28.70863693837036
3976.5690376569037,3.0463887360228473e-07,4.694838724069774e-06,0.00028107861715834714,1.814077108319127e-07,5.224023279501871e-10,0.007742291988351437,0.004651625256787936,1099.9337784185839,30.070404237526606
4157.322175732218,3.046374121354471e-07,4.694816201179405e-06,0.00028107843356043444,1.8156732461451236e-07,5.463866851569944e-10,0.0076186637234522125,0.004828619426615994,1098.572499317491,31.431683338619507
4338.0753138075315,3.04635949389419e-07,4.694793658575238e-06,0.0002810782497215163,1.817271586080075e-07,5.703920353521881e-10,0.007496856861509734,0.005002939928962251,1097.2117091249006,32.79247353120998
4518.828451882845,3.046344853624441e-07,4.694771096230209e-06,0.00028107806564104315,1.818872132028667e-07,5.944184073564906e-10,0.007376847358841554,0.0051746231313870095,1095.8514085507354,34.152774105375215
4699.581589958159,3.0463302005276316e-07,4.694748514117203e-06,0.0002810778813185494,1.8204748879014459e-07,6.184658300436168e-10,0.007258611196442945,0.005343705379467627,1094.49159830614,35.512584349970446
4880.334728033473,3.046315534586136e-07,4.694725912209058e-06,0.00028107769675353927,1.8220798576089093e-07,6.425343323374857e-10,0.007142124732404951,0.005510222418339247,1093.1322791028351,36.87190355327546
