Time (s),[ps],[e_ps],[mo],[so],[b_ps],[fa],[ofa]
0.0,2e-05,0.0,0.000281260547270523,0.0,0.0,0.0109764263757248,0.0
180.7531380753138,1.2721229983005055e-06,1.8726495582217445e-05,0.0002787548188071739,2.504347043920997e-06,1.3814194820931234e-09,0.003096803143026175,0.007879623232698614
361.5062761506276,1.2720350726096264e-06,1.8725201258117683e-05,0.00027875269441081987,2.5050891904647326e-06,2.7636692727405487e-09,0.0008729591116845709,0.01010346726404022
542.2594142259414,1.271947141022468e-06,1.8723906847071337e-05,0.0002787512348509956,2.5051664075019784e-06,4.1460119062419264e-09,0.0002460362662981948,0.0107303901094266
723.0125523012553,1.2718592167741474e-06,1.872261254401534e-05,0.00027874996295517855,2.5050560759515055e-06,5.5282392105686055e-09,6.934453142793083e-05,0.01090708184429686
903.7656903765691,1.2717713035944162e-06,1.8721318403884387e-05,0.0002787487440773977,2.504892900386669e-06,6.910292521259937e-09,1.954593890321478e-05,0.01095688043682158
1084.5188284518829,1.2716834025324476e-06,1.8720024442131533e-05,0.0002787475402630602,2.5047148519625226e-06,8.292155336086779e-09,5.509835891446984e-06,0.010970916539833345
1265.2719665271966,1.271595513881945e-06,1.871873066308267e-05,0.00027874634081561365,2.5045326317808867e-06,9.673823035442288e-09,1.5533182544660174e-06,0.010974873057470323
1446.0251046025105,1.2715076377237199e-06,1.87174370679281e-05,0.0002787451427203936,2.504349255654705e-06,1.105529434823767e-08,4.379478502694125e-07,0.010975988427874518
1626.7782426778244,1.2714197740785894e-06,1.8716143656974447e-05,0.0002787439451279459,2.504165573564725e-06,1.2436568947023994e-08,1.2348919600891232e-07,0.010976302886528778
1807.5313807531381,1.271331922950463e-06,1.871485043027931e-05,0.0002787427477981849,2.5039818250802154e-06,1.3817646770289823e-08,3.483112380017306e-08,0.010976391544600988
1988.2845188284518,1.2712440843384846e-06,1.87135573878301e-05,0.00027874155066438767,2.5037980777456242e-06,1.5198527831470256e-08,9.824769908950814e-09,0.01097641655095488
2169.0376569037658,1.271156258240456e-06,1.8712264529594477e-05,0.0002787403537077749,2.503614350590242e-06,1.657921216512466e-08,2.774778742804538e-09,0.010976423600946049
2349.7907949790797,1.2710684446538017e-06,1.8710971855534507e-05,0.0002787391569218641,2.503430648969833e-06,1.795969981175063e-08,7.834812989644754e-10,0.010976425592243494
2530.543933054393,1.2709806435758386e-06,1.8709679365610707e-05,0.0002787379603053934,2.5032469743922164e-06,1.933999081351284e-08,2.2130833312910697e-10,0.010976426154416458
2711.297071129707,1.2708928550038536e-06,1.870838705978317e-05,0.00027873676385646877,2.5030633272625813e-06,2.0720085213033478e-08,6.888230543246133e-11,0.010976426306842485
2892.050209205021,1.2708050789351326e-06,1.870709493801186e-05,0.0002787355675785279,2.5028797077353897e-06,2.209998305305942e-08,1.846543775702349e-11,0.01097642635725935
3072.803347280335,1.2707173153669503e-06,1.8705803000256734e-05,0.00027873437146895156,2.5026961158077134e-06,2.3479684376371693e-08,6.168299572611449e-12,0.010976426369556489
3253.556485355649,1.2706295642965878e-06,1.8704511246477735e-05,0.00027873317552847487,2.5025125514931045e-06,2.485918922573492e-08,1.3416126328067768e-12,0.010976426374383176
3434.3096234309623,1.2705418257213247e-06,1.8703219676634817e-05,0.0002787319797569884,2.502329014785441e-06,2.6238497643915627e-08,1.9515918226606472e-12,0.010976426373773196
3615.0627615062763,1.27045409963844e-06,1.8701928290687956e-05,0.0002787307841545237,2.502145505680929e-06,2.761760967366303e-08,3.5325843624073557e-12,0.010976426372192203
3795.81589958159,1.2703663860452178e-06,1.8700637088597132e-05,0.0002787295887204097,2.501962024170002e-06,2.8996525357708375e-08,2.0614789193503627e-13,0.01097642637551864
3976.5690376569037,1.2702786849389387e-06,1.869934607032234e-05,0.00027872839345442584,2.5017785702419294e-06,3.037524473877697e-08,-1.4595631256418769e-12,0.01097642637718435
4157.322175732218,1.2701909963168874e-06,1.8698055235823588e-05,0.00027872719835717784,2.501595143896149e-06,3.175376785958032e-08,-1.3547908015220097e-12,0.01097642637707958
4338.0753138075315,1.2701033201763462e-06,1.869676458506089e-05,0.000278726003428944,2.501411745129615e-06,3.313209476281881e-08,-5.760453783035911e-13,0.010976426376300833
4518.828451882845,1.2700156565146006e-06,1.8695474117994278e-05,0.0002787248086697181,2.50122837393672e-06,3.451022549118095e-08,-7.825668730972443e-14,0.010976426375803044
4699.581589958159,1.2699280053289357e-06,1.8694183834583784e-05,0.0002787236140792326,2.5010450303090954e-06,3.588816008734176e-08,8.659425056338663e-14,0.010976426375638195
4880.334728033473,1.269840366616638e-06,1.8692893734789463e-05,0.00027872241965711556,2.5008617142373694e-06,3.726589859395869e-08,5.6709528275888465e-14,0.01097642637566808
5061.087866108786,1.2697527403749959e-06,1.8691603818571404e-05,0.00027872122540380175,2.500678425719434e-06,3.864344105366267e-08,-1.7805649822932757e-14,0.010976426375742594
5241.841004184101,1.2696651266012954e-06,1.869031408588965e-05,0.00027872003131866564,2.50049516474366e-06,4.002078750911466e-08,-6.495635432164085e-14,0.010976426375789744
5422.594142259414,1.2695775252928288e-06,1.8689024536704347e-05,0.0002787188374020312,2.5003119313070086e-06,4.1397938002884516e-08,-1.4280178858039946e-13,0.01097642637586759
5603.347280334729,1.269489936446888e-06,1.8687735170975626e-05,0.0002787176436541953,2.500128725406193e-06,4.277489257754535e-08,-3.0345297879476385e-13,0.01097642637602824
