time (hr),oxidation_proportion,percent_reduction
0,0.0,"{'oxidation_proportion': 0.0, 'percent_reduction': 0.0}"
1,0.034482758620689655,"{'oxidation_proportion': 0.08298605459205936, 'percent_reduction': 1.037325682400742}"
2,0.06896551724137931,"{'oxidation_proportion': 0.1590866839300148, 'percent_reduction': 1.9885835491251849}"
3,0.10344827586206896,"{'oxidation_proportion': 0.22887302563518627, 'percent_reduction': 2.8609128204398284}"
4,0.13793103448275862,"{'oxidation_proportion': 0.292868879565409, 'percent_reduction': 3.6608609945676127}"
5,0.1724137931034483,"{'oxidation_proportion': 0.3515542386884735, 'percent_reduction': 4.394427983605919}"
6,0.20689655172413793,"{'oxidation_proportion': 0.4053693046228473, 'percent_reduction': 5.067116307785591}"
7,0.2413793103448276,"{'oxidation_proportion': 0.454718326352609, 'percent_reduction': 5.683979079407613}"
8,0.27586206896551724,"{'oxidation_proportion': 0.49997194321913474, 'percent_reduction': 6.2496492902391845}"
9,0.3103448275862069,"{'oxidation_proportion': 0.5414702419197855, 'percent_reduction': 6.768378023997319}"
10,0.3448275862068966,"{'oxidation_proportion': 0.5795249724770971, 'percent_reduction': 7.2440621559637135}"
11,0.37931034482758624,"{'oxidation_proportion': 0.614421794331629, 'percent_reduction': 7.680272429145363}"
12,0.41379310344827586,"{'oxidation_proportion': 0.6464225946849341, 'percent_reduction': 8.080282433561676}"
13,0.4482758620689655,"{'oxidation_proportion': 0.6757675075708177, 'percent_reduction': 8.447093844635221}"
14,0.4827586206896552,"{'oxidation_proportion': 0.7026767416348271, 'percent_reduction': 8.783459270435339}"
15,0.5172413793103449,"{'oxidation_proportion': 0.7273527865673658, 'percent_reduction': 9.091909832092073}"
16,0.5517241379310345,"{'oxidation_proportion': 0.7499810234809609, 'percent_reduction': 9.37476279351201}"
17,0.5862068965517242,"{'oxidation_proportion': 0.7707314436596464, 'percent_reduction': 9.63414304574558}"
18,0.6206896551724138,"{'oxidation_proportion': 0.7897598867358169, 'percent_reduction': 9.87199858419771}"
19,0.6551724137931035,"{'oxidation_proportion': 0.8072091041606733, 'percent_reduction': 10.090113802008416}"
20,0.6896551724137931,"{'oxidation_proportion': 0.8232100818934002, 'percent_reduction': 10.290126023667503}"
21,0.7241379310344828,"{'oxidation_proportion': 0.8378828549042142, 'percent_reduction': 10.473535686302677}"
22,0.7586206896551725,"{'oxidation_proportion': 0.8513377873324763, 'percent_reduction': 10.641722341655955}"
23,0.7931034482758621,"{'oxidation_proportion': 0.8636761098642202, 'percent_reduction': 10.795951373302753}"
24,0.8275862068965517,"{'oxidation_proportion': 0.8749905841860859, 'percent_reduction': 10.937382302326073}"
25,0.8620689655172413,"{'oxidation_proportion': 0.8853660915733416, 'percent_reduction': 11.06707614466677}"
26,0.896551724137931,"{'oxidation_proportion': 0.8948804991408177, 'percent_reduction': 11.186006239260221}"
27,0.9310344827586207,"{'oxidation_proportion': 0.9036051791835794, 'percent_reduction': 11.295064739794743}"
28,0.9655172413793104,"{'oxidation_proportion': 0.9116056620306122, 'percent_reduction': 11.395070775382653}"
29,1.0,"{'oxidation_proportion': 0.9189418441864533, 'percent_reduction': 11.486773052330665}"
