time (hr),oxidation,excitation,log10-oxidation,log10-excitation,log10-inactivation
0.0502092050209205,0.09490995580220804,0.9366129505559898,0.04330821222803389,1.197999463404048,2.8933197557365578
0.100418410041841,0.1802968618160559,0.936547995008056,0.0863434022400102,1.197554650272506,2.936354945748534
0.1506276150627615,0.25720811494633433,0.9364830460816115,0.12913284954139168,1.1971103375355547,2.9791443930499155
0.200836820083682,0.3265587649618622,0.9364181038683818,0.1717002951334781,1.196666524750598,3.021711838642002
0.2510460251046025,0.389152646116528,0.9363531684539317,0.21406730309379055,1.1962232114338773,3.0640788466023143
0.301255230125523,0.4456977246440429,0.9362882399181208,0.2562533386680324,1.195780397063787,3.106264882176556
0.3514644351464435,0.4968187704211701,0.9362233183355112,0.29827556796497817,1.195338081083848,3.148287111473502
0.401673640167364,0.543068890067535,0.9361584037758385,0.34014927220901175,1.1948962629060933,3.1901608157175354
0.4518828451882846,0.5849392961587767,0.9360934963044427,0.3818883818052046,1.1944549419141584,3.2318999253137286
0.502092050209205,0.6228669627480918,0.936028595982597,0.4235054212731462,1.1940141174656604,3.27351696478167
0.5523012552301255,0.6572415486874275,0.935963702867852,0.4650118281120014,1.193573788894669,3.315023371620525
0.602510460251046,0.6884110606598398,0.9358988170143192,0.5064179671380851,1.193133955513748,3.356429510646609
0.6527196652719666,0.7166868034912257,0.9358339384729424,0.5477331959085701,1.1926946166159051,3.397744739417094
0.702928870292887,0.742347131871243,0.9357690672916883,0.5889650187159684,1.1922557714759827,3.438976562224492
0.7531380753138075,0.7656419977045245,0.9357042035158634,0.6301202126433106,1.1918174193528914,3.4801317561518346
0.803347280334728,0.7867965577737372,0.9356393471883626,0.6712057877889775,1.1913795594913736,3.5212173312975015
0.8535564853556485,0.8060133356596154,0.9355744983497897,0.712228124721586,1.1909421911228864,3.56223966823011
0.9037656903765692,0.8234747459791272,0.9355096570386389,0.7531931548804343,1.1905053134668977,3.603204698388958
0.9539748953974896,0.839345200053938,0.935444823291446,0.794106294333149,1.1900689257319634,3.644117837841673
1.00418410041841,0.8537727944292584,0.935379997142912,0.8349718193749416,1.1896330271166178,3.6849833628834654
1.0543933054393306,0.8668913346358511,0.9353151786260722,0.8757936710667601,1.1891976168105596,3.725805214575284
1.104602510460251,0.8788217659309148,0.9352503677724128,0.9165753807686848,1.1887626939954838,3.7665869242772088
1.1548117154811717,0.8896735771744959,0.935185564611991,0.9573204629627496,1.188328257845927,3.8073320064712735
1.205020920502092,0.8995458690106045,0.9351207691735278,0.9980321989952747,1.187894307529929,3.8480437425037985
1.2552301255230125,0.9085283368586229,0.9350559814844928,1.0387134244838179,1.1874608422096322,3.8887249679923417
1.3054393305439331,0.9167022374791822,0.9349912015711956,1.0793666641143762,1.1870278610419294,3.9293782076229
1.3556485355648535,0.9241412199680147,0.934926429458864,1.1199941459416543,1.186595363179007,3.9700056894501783
1.405857740585774,0.9309120857345743,0.9348616651717171,1.160597918282808,1.186163347768867,4.010609461791332
1.4560669456066946,0.937075451410125,0.9347969087330318,1.2011798913239713,1.185731813955786,4.051191434832495
1.506276150627615,0.9426863350005339,0.9347321601652021,1.24174181910896,1.1853007608807355,4.091753362617483
1.5564853556485356,0.94779468511908,0.9346674194897931,1.2822852804085703,1.1848701876817584,4.132296823917094
1.606694560669456,0.9524458762441408,0.9346026867275941,1.3228118163341331,1.1844400934943367,4.172823359842657
1.6569037656903765,0.9566811085676797,0.9345379618986618,1.363322665873734,1.1840104774516984,4.213334209382258
1.707112970711297,0.9605378246611362,0.9344732450223653,1.4038189780897792,1.1835813386851242,4.253830521598303
1.7573221757322175,0.9640500548487065,0.9344085361174258,1.4443017678821768,1.1831526763242248,4.294313311390701
1.8075313807531384,0.9672487478610444,0.934343835201954,1.4847720914998719,1.1827244894971989,4.334783635008396
1.8577405857740588,0.9701620395147822,0.9342791422934816,1.5252308655253346,1.182296777331052,4.375242409033858
1.9079497907949792,0.9728155147976045,0.9342144574089923,1.5656788868990135,1.1818695389518055,4.415690430407537
1.9581589958158998,0.9752324447753411,0.9341497805649507,1.6061168599801927,1.181442773484699,4.456128403488717
2.00836820083682,0.977434002057952,0.9340851117773292,1.6465454558003214,1.1810164800543725,4.4965569993088454
2.0585774058577404,0.9794394520581658,0.9340204510616315,1.6869653155063338,1.1805906577850238,4.536976859014858
2.1087866108786613,0.9812663232549897,0.9339557984329149,1.7273769779177195,1.1801653058005643,4.5773885214262435
2.1589958158995817,0.9829305684127173,0.9338911539058117,1.7677809406671483,1.179740423224759,4.617792484175672
2.209205020920502,0.9844467059990095,0.9338265174945485,1.808177618537179,1.1793160091813588,4.658189162045703
2.2594142259414225,0.9858279563517117,0.9337618892129635,1.848567518759016,1.1788920627942163,4.69857906226754
2.3096234309623433,0.9870863500762052,0.9336972690745238,1.888950991062044,1.1784685831873984,4.738962534570568
2.3598326359832638,0.9882328406113701,0.9336326570923393,1.9293283638970289,1.1780455694852834,4.779339907405553
2.410041841004184,0.9892774002525221,0.9335680532791795,1.9696999050256812,1.1776230208126652,4.819711448534205
2.4602510460251046,0.9902291119486617,0.933503457647485,2.0100659625587305,1.177200936294836,4.860077506067254
2.510460251046025,0.9910962450465616,0.9334388702093804,2.0504268010356514,1.1767793150576633,4.900438344544176
2.560669456066946,0.9918863296072429,0.9333742909766866,2.090782638918396,1.1763581562276737,4.94079418242692
2.6108786610878663,0.9926062231091096,0.9333097199609307,2.1311336585123133,1.1759374589321168,4.981145202020837
2.6610878661087867,0.9932621717866725,0.9332451571733569,2.1714800659216853,1.175517222299031,5.021491609430209
