Time (s),[ps],[e_ps],[mo],[so],[b_ps],[fa],[ofa]
0.0,5e-06,0.0,0.000281260547270523,0.0,0.0,0.0109764263757248,0.0
180.7531380753138,3.046656189285748e-07,4.695250925936608e-06,0.0002806289108872587,6.315529280391822e-07,8.345513481610018e-11,0.008550898837390825,0.0031004415436493766
361.5062761506276,3.046605320047776e-07,4.6951725305499646e-06,0.00028062863846591344,6.317418670816641e-07,1.6693744525592587e-10,0.006660611040623259,0.005516479220005627
542.2594142259414,3.046554438289689e-07,4.695094115865891e-06,0.00028062841003529337,6.318867948230121e-07,2.5044030513812616e-10,0.005187774328639741,0.007398820799345551
723.0125523012553,3.046503547151257e-07,4.695015686723683e-06,0.0002806282159326515,6.319973791102039e-07,3.3395856119034175e-10,0.004040368053509085,0.008865167357730424
903.7656903765691,3.0464526490820645e-07,4.694937246898861e-06,0.0002806280486041035,6.320811780658251e-07,4.17488192931568e-10,0.0031465803051778643,0.010007349210520844
1084.5188284518829,3.0464017459915686e-07,4.694858799334448e-06,0.0002806279021515871,6.321440926436532e-07,5.010260663939715e-10,0.0024504214549704623,0.010896950084921994
1265.2719665271966,3.0463508393685276e-07,4.694780346325057e-06,0.00028062777197120266,6.321907294159844e-07,5.845697380889171e-10,0.0019082299428307224,0.011589783959838127
1446.0251046025105,3.0462999303730987e-07,4.694701889658827e-06,0.00028062765447123636,6.322246816731808e-07,6.68117303862772e-10,0.0014859763667400033,0.012129346816234938
1626.7782426778244,3.0462490199092577e-07,4.694623430729048e-06,0.0002806275468514999,6.322487513972482e-07,7.516672800264841e-10,0.0011571422086985225,0.012549531383838788
1807.5313807531381,3.0461981086812066e-07,4.694544970621096e-06,0.00028062744692892376,6.32265122659992e-07,8.352185107828359e-10,0.0009010671995581647,0.012876741342289165
1988.2845188284518,3.0461471972374666e-07,4.694466510180406e-06,0.0002806273530024847,6.3227549752388e-07,9.187700958465741e-10,0.0007016567861473625,0.013131544378309426
2169.0376569037658,3.0460962860052513e-07,4.694388050065434e-06,0.00028062726374650747,6.322812021448149e-07,1.0023213340390851e-09,0.0005463746236938094,0.013329960429183496
2349.7907949790797,3.046045375317258e-07,4.694309590788968e-06,0.0002806271781286384,6.322832696293152e-07,1.0858716793052979e-09,0.0004254568057086429,0.013484466230753722
2530.543933054393,3.045994465432564e-07,4.694231132750321e-06,0.00028062709534441843,6.322825047035229e-07,1.169420706422233e-09,0.0003312991459373187,0.013604778528689769
2711.297071129707,3.0459435565529076e-07,4.694152676260428e-06,0.0002806270147676385,6.322795341473217e-07,1.2529680842805428e-09,0.000257979718723927,0.013698464332215525
2892.050209205021,3.045892648835365e-07,4.694074221561391e-06,0.0002806269359101642,6.32274846102011e-07,1.3365135550728794e-09,0.00020088691809107105,0.013771416264693097
3072.803347280335,3.045841742402232e-07,4.693995768841702e-06,0.0002806268583921249,6.322688207196834e-07,1.4200569180765818e-09,0.0001564296055276424,0.013828222980454111
3253.556485355649,3.045790837348719e-07,4.693917318248108e-06,0.00028062678191761835,6.322617540436979e-07,1.5035980170220035e-09,0.00012181132674476048,0.01387245769159155
3434.3096234309623,3.0457399337489457e-07,4.69383886989485e-06,0.0002806267062563398,6.322538766078216e-07,1.5871367302580473e-09,9.485452017912014e-05,0.0139069028029126
3615.0627615062763,3.0456890316606057e-07,4.693760423870852e-06,0.0002806266312287474,6.322453679287343e-07,1.670672963090417e-09,7.386355624215742e-05,0.013933724922610954
3795.81589958159,3.0456381311286077e-07,4.693681980245329e-06,0.0002806265566951874,6.322363677962426e-07,1.7542066418147422e-09,5.751807052243059e-05,0.01395461116024441
3976.5690376569037,3.045587232187898e-07,4.693603539072142e-06,0.0002806264825469118,6.322269850616093e-07,1.837737709072046e-09,4.4789932763099325e-05,0.013970875221655861
4157.322175732218,3.045536334865668e-07,4.693525100393206e-06,0.00028062640869904663,6.322173044840601e-07,1.921266120230775e-09,3.4878566756960306e-05,0.013983540054768439
4338.0753138075315,3.045485439183076e-07,4.693446664241127e-06,0.0002806263350857343,6.322073920646157e-07,2.0047918405691486e-09,2.716057707285602e-05,0.013993402214236908
4518.828451882845,3.045434545156573e-07,4.693368230641263e-06,0.00028062626165561066,6.321972991959213e-07,2.0883148430823507e-09,2.1150543677364155e-05,0.014001081956076213
4699.581589958159,3.0453836527989515e-07,4.6932897996133336e-06,0.0002806261883686796,6.321870658957422e-07,2.171835106774311e-09,1.6470483025575907e-05,0.014007062258640061
4880.334728033473,3.045332762120155e-07,4.69321137117266e-06,0.0002806261151936861,6.321767233249082e-07,2.2553526153274645e-09,1.2826063555965822e-05,0.014011719213166766
5061.087866108786,3.0452818731279045e-07,4.693132945331146e-06,0.0002806260421065805,6.321662957480376e-07,2.3388673560674308e-09,9.988095813977615e-06,0.014015345674707289
5241.841004184101,3.045230985828195e-07,4.693054522098028e-06,0.0002806259690882617,6.321558020584127e-07,2.422379319156691e-09,7.778114574057343e-06,0.014018169684542843
5422.594142259414,3.045180100225673e-07,4.69297610148047e-06,0.00028062589612418273,6.321452569687466e-07,2.505888496966425e-09,6.057149259301543e-06,0.014020368818795722
5603.347280334729,3.0451292163239377e-07,4.6928976834840215e-06,0.0002806258232029157,6.321346719352418e-07,2.5893948835879076e-09,4.716985185283507e-06,0.014022081354417942
5784.100418410042,3.0450783341257756e-07,4.692819268112974e-06,0.0002806257503153088,6.321240558780212e-07,2.672898474451669e-09,3.6733567200026978e-06,0.014023414966686349
