Time (s),[ps],[e_ps],[b_ps],[mo],[so],[fa],[ofa]
0.0,91.4709258460924,0.0,0.0,2.81260547270523e-07,0.0,0.00100531722303704,0.0
1224.4897959183672,0.0030488956050704727,91.46686815211413,0.0010087983732765494,3.1063928600069286e-10,2.80949907984522e-07,0.0009237034106923703,8.161381234467045e-05
2448.9795918367345,0.003048861979949723,91.46585939849165,0.00201758562089719,3.106426491930352e-10,2.809499046213296e-07,0.0008487155077886852,0.00015660171524835563
3673.4693877551017,0.0030488283551998114,91.46485065599431,0.0030263617429833406,3.106460172098951e-10,2.8094990125331277e-07,0.00077981472155477,0.00022550250148227098
4897.959183673469,0.0030487947308207334,91.46384192462202,0.004035126739657791,3.106493896632621e-10,2.8094989788085945e-07,0.0007165075839231207,0.0002888096391139203
6122.448979591836,0.0030487611068124878,91.46283320437463,0.005043880611043241,3.106527661959089e-10,2.809498945043268e-07,0.0006583397816545292,0.0003469774413825118
7346.938775510203,0.0030487274831750705,91.46182449525206,0.0060526233572623525,3.1065614647963073e-10,2.8094989112404306e-07,0.0006048939156169657,0.0004004233074200751
8571.42857142857,0.0030486938599084733,91.46081579725414,0.007061354978437804,3.1065953021307197e-10,2.8094988774030955e-07,0.0005557867380843763,0.0004495304849526645
9795.918367346938,0.003048660237012694,91.4598071103808,0.008070075474692295,3.1066291711939984e-10,2.8094988435340326e-07,0.0005106661900873416,0.0004946510329496992
11020.408163265305,0.0030486266144877307,91.45879843463186,0.009078784846148536,3.1066630694404893e-10,2.809498809635786e-07,0.00046920853629082635,0.0005361086867462145
12244.897959183672,0.0030485929923335757,91.45778977000724,0.010087483092929221,3.1066969945316897e-10,2.8094987757106947e-07,0.0004311163870179353,0.0005742008360191056
13469.38775510204,0.0030485593705502274,91.45678111650679,0.011096170215157039,3.1067309443178416e-10,2.809498741760909e-07,0.00039611635909170327,0.0006092008639453375
14693.877551020407,0.003048525749137682,91.4557724741304,0.01210484621295468,3.106764916829747e-10,2.8094987077883974e-07,0.0003639580331910102,0.0006413591898460306
15918.367346938774,0.0030484921280959326,91.45476384287795,0.013113511086444827,3.106798910254113e-10,2.8094986737949726e-07,0.00033441081852324207,0.0006709064045137987
17142.85714285714,0.0030484585074249783,91.45375522274931,0.014122164835750165,3.106832922922981e-10,2.809498639782304e-07,0.0003072626109857634,0.0006980546120512775
18367.34693877551,0.0030484248871248142,91.45274661374437,0.015130807460993384,3.106866953304551e-10,2.809498605751922e-07,0.00028231861951457727,0.0007229986035224636
19591.836734693876,0.0030483912671954343,91.45173801586299,0.01613943896229716,3.10690099998876e-10,2.809498571705238e-07,0.0002593995358368434,0.0007459176872001976
20816.32653061224,0.0030483576476368368,91.45072942910507,0.01714805933978418,3.1069350616828833e-10,2.8094985376435436e-07,0.00023834097725456652,0.0007669762457824745
22040.81632653061,0.003048324028449017,91.44972085347047,0.018156668593577122,3.106969137199251e-10,2.8094985035680275e-07,0.00021899191921076865,0.0007863253038262723
23265.30612244898,0.00304829040963197,91.44871228895906,0.019165266723798674,3.107003225447038e-10,2.8094984694797795e-07,0.00020121365451316323,0.0008041035685238778
24489.795918367345,0.0030482567911856925,91.44770373557073,0.020173853730571498,3.1070373254243876e-10,2.809498435379802e-07,0.00018487878991026732,0.0008204384331267738
25714.28571428571,0.00304822317311018,91.44669519330536,0.021182429614018276,3.1070714362121607e-10,2.8094984012690146e-07,0.0001698704517825988,0.0008354467712544424
26938.77551020408,0.0030481895554054284,91.44568666216283,0.022190994374261686,3.107105556959743e-10,2.809498367148267e-07,0.00015608048003618442,0.0008492367430008567
28163.26530612245,0.003048155938071434,91.444678142143,0.023199548011424407,3.107139686888846e-10,2.809498333018338e-07,0.00014340991350978588,0.0008619073095272553
29387.755102040814,0.0030481223211081938,91.44366963324576,0.024208090525629097,3.107173825283202e-10,2.8094982988799435e-07,0.00013176767842791373,0.0008735495446091274
30612.24489795918,0.0030480887045157014,91.44266113547098,0.025216621916998437,3.1072079714873897e-10,2.8094982647337393e-07,0.00012107043697188094,0.0008842467860651602
31836.734693877548,0.0030480550882939533,91.44165264881856,0.026225142185655092,3.107242124898798e-10,2.809498230580328e-07,0.00011124156755609156,0.0008940756554809496
33061.22448979592,0.003048021472442946,91.44064417328833,0.027233651331721738,3.1072762849639995e-10,2.8094981964202627e-07,0.00010221070280363666,0.0009031065202334046
34285.71428571428,0.003047987856962675,91.43963570888022,0.028242149355321034,3.107310451173505e-10,2.809498162254053e-07,9.391306418372681e-05,0.0009114041588533144
35510.20408163265,0.0030479542418531368,91.43862725559407,0.029250636256575646,3.1073446230597217e-10,2.809498128082167e-07,8.628919925094918e-05,0.000919028023786092
36734.69387755102,0.003047920627114327,91.43761881342976,0.030259112035608247,3.107378800191032e-10,2.8094980939050356e-07,7.928422954250109e-05,0.0009260329934945401
37959.183673469386,0.0030478870127462416,91.4366103823872,0.03126757669254149,3.1074129821719004e-10,2.8094980597230543e-07,7.284786659940904e-05,0.0009324693564376321
39183.67346938775,0.003047853398748876,91.43560196246624,0.03227603022749803,3.1074471686388216e-10,2.809498025536587e-07,6.693389422866202e-05,0.0009383833288083793
40408.16326530612,0.003047819785122226,91.43459355366677,0.03328447264060054,3.1074813592588844e-10,2.809497991345967e-07,6.149998527297581e-05,0.0009438172377640655
41632.65306122448,0.003047786171866289,91.43358515598865,0.03429290393197168,3.1075155537253944e-10,2.8094979571515006e-07,5.6507147728866696e-05,0.0009488100753081746
