Time (h),oxidation,excitation,log10-oxidation,log10-excitation,log10-inactivation,inactivation
0.0502092050209205,0.012112882443140302,0.10094950960103632,0.005292677905253521,0.04621591773738191,2.3855420540206693,0.012112882443140302
0.100418410041841,0.023288293513933873,0.1009494954267934,0.010233606965533205,0.04621591089038556,2.390482983080949,0.023288293513933873
0.1506276150627615,0.03361466207332612,0.1009494812542467,0.01484966782253345,0.04621590404420869,2.3950990439379494,0.03361466207332612
0.200836820083682,0.043170037231451464,0.10094946708349477,0.019165233375211064,0.046215897198898855,2.399414609490627,0.043170037231451464
0.2510460251046025,0.05202359983940955,0.10094945291464202,0.023202474273332514,0.04621589035450658,2.4034518503887483,0.05202359983940955
0.301255230125523,0.060236860733090425,0.10094943874779905,0.026981593497923725,0.04621588351108529,2.4072309696133396,0.060236860733090425
0.3514644351464435,0.06786463461562307,0.1009494245830828,0.030521014501577955,0.04621587666869139,2.4107703906169937,0.06786463461562307
0.401673640167364,0.07495604061761846,0.10094941042061689,0.03383762848954472,0.04621586982738469,2.4140870046049603,0.07495604061761846
0.4518828451882846,0.08155501546718325,0.10094939626053191,0.036946853108203864,0.0462158629872282,2.4171962292236198,0.08155501546718325
0.502092050209205,0.08770122801050664,0.10094938210296633,0.03986290972301421,0.046215856148288846,2.42011228583843,0.08770122801050664
0.5523012552301255,0.0934303757313785,0.10094936794806632,0.042598836604847305,0.04621584931063721,2.422848212720263,0.0934303757313785
0.602510460251046,0.09877477983472442,0.1009493537959867,0.045166663347058655,0.04621584247434811,2.4254160394624744,0.09877477983472442
0.6527196652719666,0.10376377561133383,0.10094933964689162,0.047577506602207935,0.04621583563950086,2.4278268827176235,0.10376377561133383
0.702928870292887,0.10842392021394895,0.10094932550095376,0.04984159178026876,0.04621582880617875,2.4300909678956844,0.10842392021394895
0.7531380753138075,0.11277947729123837,0.10094931135835697,0.051968420875934354,0.04621582197447075,2.4322177969913503,0.11277947729123837
0.803347280334728,0.11685250778242354,0.10094929721929471,0.05396675994781839,0.046215815144470235,2.434216136063234,0.11685250778242354
0.8535564853556485,0.12066319488157642,0.10094928308397202,0.05584474883062312,0.04621580831627625,2.436094124946039,0.12066319488157642
0.9037656903765692,0.1242300220711858,0.10094926895260617,0.05760994683895187,0.04621580148999376,2.4378593229543677,0.1242300220711858
0.9539748953974896,0.12756988334989353,0.10094925482542581,0.05926935080860869,0.046215794665733244,2.4395187269240246,0.12756988334989353
1.00418410041841,0.13069834054935728,0.10094924070267415,0.06082949132895893,0.04621578784361215,2.4410788674443746,0.13069834054935728
1.0543933054393306,0.13362965368239757,0.10094922658460705,0.06229642093840206,0.04621578102375404,2.442545797053818,0.13362965368239757
1.104602510460251,0.13637697247929037,0.10094921247149584,0.06367578621755905,0.046215774206290035,2.4439251623329747,0.13637697247929037
1.1548117154811717,0.13895241500873556,0.10094919836362765,0.06497284700386415,0.04621576739135889,2.4452222231192797,0.13895241500873556
1.205020920502092,0.14136713978594434,0.10094918426130477,0.06619249491952378,0.04621576057910646,2.4464418710349394,0.14136713978594434
1.2552301255230125,0.1436314798120455,0.10094917016484864,0.06733930559985478,0.046215753769688186,2.4475886817152706,0.1436314798120455
1.3054393305439331,0.14575496101906388,0.10094915607459716,0.06841753468250397,0.04621574696326725,2.4486669107979195,0.14575496101906388
1.3556485355648535,0.1477464130233884,0.10094914199090878,0.06943116223063958,0.04621574016001673,2.449680538346055,0.1477464130233884
1.405857740585774,0.1496140069656119,0.10094912791416231,0.07038390182197964,0.04621573336011971,2.4506332779373956,0.1496140069656119
1.4560669456066946,0.15136530863075043,0.1009491138447569,0.07127921866617028,0.04621572656376893,2.451528594781586,0.15136530863075043
1.506276150627615,0.1530073412598585,0.1009490997831164,0.07212035387527159,0.04621571977116917,2.4523697299906875,0.1530073412598585
1.5564853556485356,0.15454661147123952,0.10094908572968632,0.07291033089623719,0.046215712982535635,2.453159707011653,0.15454661147123952
1.606694560669456,0.15598916305301838,0.10094907168493923,0.07365197707569583,0.04621570619809663,2.4539013531911116,0.15598916305301838
1.6569037656903765,0.15734060351578041,0.10094905764937381,0.07434793204017695,0.04621569941809296,2.4545973081555927,0.15734060351578041
1.707112970711297,0.15860614338378215,0.10094904362351576,0.07500066328101088,0.046215692642778666,2.4552500393964265,0.15860614338378215
1.7573221757322175,0.15979061540674286,0.10094902960792286,0.07561247198357186,0.04621568587242314,2.4558618480989876,0.15979061540674286
1.8075313807531384,0.16089851717448744,0.10094901560318087,0.07618551144084618,0.04621567910730938,2.456434887556262,0.16089851717448744
1.8577405857740588,0.16193401746536928,0.10094900160991108,0.07672178719001277,0.0462156723477374,2.4569711633054285,0.16193401746536928
1.9079497907949792,0.1629009895489979,0.10094898762876818,0.07722317145780275,0.04621566559402356,2.4574725475732184,0.1629009895489979
1.9581589958158998,0.1638030356602759,0.10094897366044248,0.07769141340949764,0.04621565884650134,2.4579407895249132,0.1638030356602759
2.00836820083682,0.164643478039958,0.10094895970566553,0.07812813233186813,0.046215652105523995,2.458377508447284,0.164643478039958
2.0585774058577404,0.16542542500919205,0.10094894576520494,0.07853485004533448,0.04621564537146244,2.45878422616075,0.16542542500919205
2.1087866108786613,0.1661517318674362,0.10094893183987452,0.07891296891601478,0.04621563864470971,2.4591623450314306,0.1661517318674362
2.1589958158995817,0.16682505375932552,0.10094891793053068,0.07926379786137416,0.046215631925679596,2.4595131739767897,0.16682505375932552
2.209205020920502,0.16744785145752805,0.10094890403807617,0.07958855407999144,0.046215625214808084,2.459837930195407,0.16744785145752805
