Time (s),[ps],[e_ps],[mo],[so],[fa],[ofa]
0.0,237329.457756178,0.0,2.81260547270523e-07,0.0,0.00100531722303704,0.0
603.0150753768844,233567.10338888955,3762.3543672885075,-4.4889642194944423e-13,5.572768139116062e-09,0.0010050415348090117,2.756882280285406e-07
1206.0301507537688,229864.3881397804,7465.0696163975945,-2.1089225009202708e-14,5.5727596814800126e-09,0.0010050415352283613,2.756878086789797e-07
1809.0452261306532,226220.37164674714,11109.08610943085,-1.4937058871107818e-13,5.572762158828951e-09,0.0010050415351025575,2.7568793448299457e-07
2412.0603015075376,222634.1112272209,14695.346528957043,4.5080824269959045e-13,5.5727502726667624e-09,0.00100504153569085,2.756873461903254e-07
3015.075376884422,219104.72528546935,18224.73247070861,7.616032870192256e-13,5.572744070312959e-09,0.0010050415359954426,2.7568704159763475e-07
3618.0904522613064,215631.29103947524,21698.166716702748,-1.1214848047044136e-13,5.572761406231711e-09,0.0010050415351390265,2.7568789801348355e-07
4221.10552763819,212212.9182311084,25116.53952506957,-6.789875566203869e-13,5.572772696454859e-09,0.0010050415345834777,2.756884535623373e-07
4824.120603015075,208848.73635053562,28480.72140564233,3.3140880469305656e-14,5.572758572813817e-09,0.0010050415352814827,2.7568775555754447e-07
5427.13567839196,205537.86414187375,31791.593614304133,1.4049921756712926e-16,5.572759203201997e-09,0.0010050415352491127,2.7568778792753726e-07
6030.150753768844,202279.4724416649,35049.985314512975,-1.3332660308141167e-14,5.572759471363894e-09,0.0010050415352359076,2.7568780113253484e-07
6633.165829145728,199072.77135568412,38256.68640049376,-1.720544852795619e-13,5.572762629001244e-09,0.0010050415350803435,2.756879566967228e-07
7236.180904522613,195916.9066304087,41412.5511257692,-9.88961762445999e-13,5.572778888908763e-09,0.0010050415342796961,2.756887573440932e-07
7839.195979899498,192811.0638716386,44518.39388453927,1.8596631660429274e-14,5.572758866788441e-09,0.0010050415352672322,2.7568776980781957e-07
8442.21105527638,189754.45695911767,47575.00079706021,-2.1983881654765214e-13,5.5727635793935806e-09,0.0010050415350335094,2.756880035306596e-07
9045.226130653265,186746.30622695666,50583.15152922122,-7.009440447967463e-13,5.572773133524584e-09,0.0010050415345619582,2.7568847508175877e-07
9648.24120603015,183785.84331709915,53543.6144390787,-2.968402414187787e-12,5.572818166648996e-09,0.001005041532339533,2.756906975070012e-07
10251.256281407035,180872.31186299142,56457.145893186425,-6.203004140918422e-13,5.572771509832909e-09,0.0010050415346409777,2.756883960618237e-07
10854.27135678392,178004.9683191624,59324.489437015436,9.972970970472517e-14,5.572757222029246e-09,0.0010050415353467202,2.756876903195029e-07
11457.286432160803,175183.08095268087,62146.37680349697,-2.3592222245769244e-13,5.572763904239577e-09,0.0010050415350177507,2.7568801928922455e-07
12060.301507537688,172405.92865459004,64923.529101587796,-8.923816291593693e-13,5.572776882102777e-09,0.0010050415343742691,2.7568866277076676e-07
12663.316582914573,169672.8022626495,67656.65549352835,-8.772325754493975e-14,5.572760935617801e-09,0.0010050415351629811,2.7568787405887675e-07
13266.331658291456,166983.0035919761,70346.45416420176,-1.2655111137989194e-13,5.572761749073976e-09,0.0010050415351249666,2.75687912073272e-07
13869.34673366834,164335.84602524855,72993.61173092929,-5.040091765580231e-14,5.572760188087482e-09,0.001005041535199556,2.756878374840673e-07
14472.361809045226,161730.65335685393,75598.80439932394,1.2715423451654855e-13,5.572756678417032e-09,0.0010050415353736017,2.7568766343859307e-07
15075.37688442211,159166.76054375988,78162.69721241797,-3.040120547381049e-14,5.5727598121489274e-09,0.00100504153521918,2.75687817860306e-07
15678.391959798995,156643.5126499215,80685.94510625635,-3.7777823441987265e-13,5.572766710388671e-09,0.0010050415348787014,2.7568815833909793e-07
16281.407035175878,154160.26554657947,83169.19220959838,3.730809685472416e-16,5.572759197514018e-09,0.0010050415352493398,2.75687787700667e-07
16884.42211055276,151716.3848361807,85613.07291999714,2.4857114495214788e-12,5.572709866528612e-09,0.001005041537685347,2.75685351693284e-07
17487.437185929648,149311.2461829231,88018.21157325474,-9.441427395843974e-13,5.572777873029629e-09,0.0010050415343234992,2.7568871354096584e-07
18090.45226130653,146944.23583050063,90385.22192567722,4.602632553471885e-13,5.572750062071216e-09,0.0010050415357000947,2.756873369459361e-07
18693.467336683418,144614.74938287388,92714.70837330398,-1.6947303898310174e-14,5.5727594873647615e-09,0.0010050415352323091,2.7568780473119826e-07
19296.4824120603,142322.1919451715,95007.2658110063,4.854284444105384e-13,5.572749510447448e-09,0.0010050415357247082,2.7568731233237164e-07
19899.497487437184,140065.97811524224,97263.47964093555,3.6634315836613746e-13,5.572751903257847e-09,0.0010050415356080155,2.756874290248493e-07
20502.51256281407,137845.5317115727,99483.92604460508,-5.092610676698724e-13,5.5727693497150005e-09,0.0010050415347498578,2.756882871826147e-07
21105.527638190953,135660.2857523035,101669.17200387426,-5.325377243310158e-13,5.572769811002258e-09,0.0010050415347270425,2.7568830999798063e-07
21708.54271356784,133509.68217554962,103819.77558062815,-3.323260109656201e-14,5.572759851047928e-09,0.0010050415352163878,2.756878206528124e-07
22311.557788944723,131393.17183214021,105936.28592403758,4.0387540339857964e-14,5.572758400110624e-09,0.001005041535288557,2.756877484836147e-07
22914.572864321606,129310.21422130382,108019.24353487398,-5.440736097224718e-15,5.5727593147226485e-09,0.0010050415352436434,2.756877933972789e-07
23517.587939698493,127260.2777822913,110069.1799738865,4.368883066354586e-14,5.57275833901978e-09,0.0010050415352917971,2.756877452434155e-07
24120.603015075376,125242.84034748888,112086.61740868892,1.5796374153767503e-14,5.572758892162848e-09,0.0010050415352644581,2.756877725827296e-07
24723.61809045226,123257.38627432818,114072.07148184962,1.3314704411031021e-14,5.57275894227567e-09,0.0010050415352620265,2.756877750142876e-07
25326.633165829146,121303.40788664234,116026.04986953546,9.815767063982949e-14,5.572757260569677e-09,0.0010050415353451876,2.756876918530297e-07
25929.64824120603,119380.40682485451,117949.05093132329,2.719714804328384e-14,5.572758668382289e-09,0.001005041535275635,2.756877614057407e-07
26532.66331658291,117487.89873739955,119841.55901877827,-4.1995863378186776e-14,5.572760040664923e-09,0.0010050415352078142,2.7568782922647005e-07
27135.6783919598,115625.39470936614,121704.06304681167,-5.335461549138155e-14,5.572760264833727e-09,0.0010050415351966796,2.7568784036105357e-07
27738.69346733668,113792.41891126684,123537.03884491097,-4.107450089868917e-14,5.572760020129446e-09,0.001005041535208715,2.756878283256431e-07
28341.708542713568,111988.50705046422,125340.95070571359,1.8016890815648615e-14,5.572758848537824e-09,0.0010050415352666348,2.756877704058433e-07
