Time (s),[ps],[e_ps],[so],[fa],[ofa]
0.0,237329.457756178,0.0,0.0,0.00100531722303704,0.0
603.0150753768844,233567.10612631126,12.895532391610157,3749.4550921585287,5.51037854618094e-12,0.001005317217526649
1206.0301507537688,229864.39706021527,12.691101187702843,7452.368589458391,2.8249406816472006e-12,0.0010053172202120677
1809.0452261306532,226220.3857268019,12.489910759115633,11096.58111330031,1.871557736466194e-12,0.0010053172211654836
2412.0603015075376,222634.12778132406,12.291908967392574,14683.037060569892,1.2886064654951031e-12,0.0010053172217484457
3015.075376884422,219104.7273677168,12.097046351198577,18212.63233679333,4.52796733258143e-13,0.0010053172225843237
3618.0904522613064,215631.29052805863,11.905273553997413,21686.2609492487,9.880755734248727e-13,0.0010053172220491954
4221.10552763819,212212.91820763642,11.716540937852614,25104.82200228708,5.373391136400299e-14,0.0010053172229840088
4824.120603015075,208848.7363795355,11.530800246643812,28469.189571079194,1.3896014783336262e-12,0.0010053172216482724
5427.13567839196,205537.8863648279,11.348004071632179,31780.222381961827,8.203581410028674e-13,0.0010053172222175355
6030.150753768844,202279.5228029042,11.16810573939996,35038.76584221774,8.411814067778942e-13,0.0010053172221988957
6633.165829145728,199072.81362125865,10.991059310182223,38245.65207029247,-3.760133400060887e-13,0.0010053172234153645
7236.180904522613,195916.93996074708,10.816819573740279,41401.6999705405,-3.4664906145486104e-13,0.0010053172233860487
7839.195979899498,192811.0959628653,10.645342037617048,44507.715445958376,1.3408506769693008e-13,0.0010053172229051812
8442.21105527638,189754.48860643813,10.476582918120469,47564.491561505034,2.289424451542475e-13,0.0010053172228098514
9045.226130653265,186746.33725119446,10.31049911512369,50572.8090005517,1.269549850840856e-12,0.0010053172217691978
9648.24120603015,183785.87368690025,10.147048214777765,53533.43601574623,3.39713755758227e-13,0.0010053172226990347
10251.256281407035,180872.341917945,9.986188477618416,56447.12864443863,2.4109432633220205e-13,0.0010053172227975217
10854.27135678392,178004.99798415336,9.827878828672812,59314.63088787922,1.5944598980996143e-14,0.0010053172230243595
11457.286432160803,175183.10965088612,9.67207884034965,62136.67502113483,1.1175910208929324e-13,0.0010053172229320105
12060.301507537688,172405.95630281637,9.518748726574405,64913.98169931835,-4.649458179588175e-13,0.0010053172235148127
12663.316582914573,169672.82878871047,9.367849334219498,67647.26011281667,1.1185100862328357e-12,0.0010053172219304212
13266.331658291456,166983.0296068795,9.21934215334331,70337.20780182852,1.0655274548151829e-13,0.0010053172229414604
13869.34673366834,164335.87360656212,9.073189355914392,72984.50995494332,8.104389253452073e-13,0.0010053172222372862
14472.361809045226,161730.6858289039,8.929353676609232,75589.84156828087,6.524175375617016e-13,0.001005317222394932
15075.37688442211,159166.79767681827,8.787798201345495,78153.87127584177,-4.784070989474791e-13,0.0010053172235254015
15678.391959798995,156643.55408512513,8.648486763154345,80677.25417897309,3.935108282789457e-13,0.0010053172226533566
16281.407035175878,154160.31089243875,8.511383797079082,83160.63447462556,2.5550280430762783e-13,0.0010053172227913285
16884.42211055276,151716.43570552167,8.376454387897216,85604.64459095181,3.604348773509322e-13,0.0010053172226867772
17487.437185929648,149311.30180191473,8.24366393347702,88009.91128501321,3.7783060314462773e-13,0.0010053172226690478
18090.45226130653,146944.2955047146,8.11297855194824,90377.04826759484,4.111136177833196e-14,0.0010053172230040978
18693.467336683418,144614.81276031368,7.984364892754839,92706.65962565492,5.467672513068946e-13,0.0010053172225002363
19296.4824120603,142322.26014447297,7.857790192201513,94999.3388161962,-5.383354793364362e-14,0.0010053172230972008
19899.497487437184,140066.0505955984,7.733222037882568,97255.67293322507,8.779142373960594e-14,0.001005317222951809
20502.51256281407,137845.6077533165,7.610628608220085,99476.23836893668,1.1318891082754762e-12,0.0010053172219066226
21105.527638190953,135660.36432367394,7.489978582204567,101661.60244860522,-2.8757166539463077e-12,0.001005317225903368
21708.54271356784,133509.76081800688,7.371241069766312,103812.32469178476,5.5423141610105947e-14,0.0010053172229631583
22311.557788944723,131393.2499235795,7.254385853083858,105928.95244142877,-4.924757994304224e-13,0.0010053172235102235
22914.572864321606,129310.29175867066,7.139383124611362,108012.02560906611,8.887724737118585e-13,0.001005317222130116
23517.587939698493,127260.35466082164,7.026203530598753,110062.07588650915,1.119882247063715e-12,0.0010053172219004636
24120.603015075376,125242.91490216952,6.914818155374937,112079.62703053647,3.779657184901516e-13,0.0010053172226408998
24723.61809045226,123257.4572122193,6.805198550210679,114065.19434009184,4.075284507416792e-13,0.0010053172226072073
25326.633165829146,121303.47477236661,6.697316733016218,116019.28466176173,-1.0971940562127664e-12,0.0010053172241113364
25929.64824120603,119380.46858177768,6.591145153330695,117942.39702393036,5.44911751417009e-13,0.0010053172224692795
26532.66331658291,117487.94745849438,6.486656692383168,119835.02263567457,1.959536384035211e-13,0.0010053172228209322
27135.6783919598,115625.42812216772,6.383824667660424,121697.64480402594,1.0139253557595453e-13,0.001005317222922823
27738.69346733668,113792.43518332425,6.282622832314372,123530.73894470478,2.2478485005601682e-13,0.0010053172228024223
28341.708542713568,111988.50037766113,6.183025332886515,125334.77334786735,1.2480891994238543e-13,0.001005317222903439
28944.72361809045,110213.16299022036,6.08500673272713,127110.20875390826,1.1751690403540849e-13,0.001005317222912079
29547.738693467334,108465.96983400921,5.988542010814894,128857.4983748413,2.6593316654765734e-13,0.0010053172227633116
30150.75376884422,106746.47472650929,5.893606532854274,130577.08841781916,5.3742645144307073e-14,0.0010053172229767015
30753.768844221104,105054.23846331013,5.800176049819814,132269.41811150135,1.2612817294425766e-13,0.0010053172229052495
31356.78391959799,103388.82890446139,5.708226702723752,133934.91961969723,5.472479121291744e-13,0.0010053172224832668
31959.798994974873,101749.82097690641,5.61773502275037,135574.01803893218,-4.0256231379479774e-13,0.0010053172234273915
32562.814070351757,100136.79597114264,5.528677892423743,137187.13210182628,3.9418637510655715e-13,0.0010053172226197563
33165.82914572864,98549.34154621194,5.4410325458832585,138774.6741721035,5.214804768472078e-13,0.0010053172224983708
33768.84422110552,96987.05265169077,5.354776619787845,140337.0493225508,6.25085460175334e-13,0.0010053172223927359
34371.85929648241,95449.53052059918,5.269888097713225,141874.65634216447,3.6238674490114115e-13,0.001005317222658519
34974.874371859296,93936.38251708036,5.1863453017420955,143387.88788847922,3.7894383667307434e-13,0.001005317222650788
35577.88944723618,92447.222235658,5.104126897944275,144877.13038830544,4.701077593139439e-13,0.001005317222555925
36180.90452261306,90981.6694025221,5.023211890926551,146342.76413644833,-8.147236890096967e-13,0.0010053172238470162
36783.919597989945,89539.34977225629,4.943579618130871,147785.16339898697,4.2365291026751756e-13,0.0010053172226101926
37386.934673366835,88119.89534359869,4.865209761746774,149204.69619750095,-3.8555731406637987e-13,0.001005317223415955
37989.94974874372,86722.94367348179,4.7880823108386625,150601.72499506874,1.0822115352908027e-12,0.0010053172219444781
38592.9648241206,85348.13769600667,4.71217755135116,151976.60687730336,1.3463080346139873e-13,0.0010053172228908184
39195.979899497484,83995.12625348098,4.637476095428366,153329.693021285,-2.79421634019497e-15,0.001005317223028671
39798.99497487437,82663.56381668296,4.5639588659692905,154661.3289753125,6.347624067963968e-13,0.0010053172223899612
40402.01005025126,81353.11055636007,4.491607100575383,155971.85458740074,6.963074201200116e-13,0.0010053172223277553
41005.02512562814,80063.43172331716,4.420402317324418,157261.6046252269,-5.84988257389709e-13,0.001005317223609887
41608.040201005024,78794.19795089136,4.350326331470525,158530.90847363856,-5.466371792144802e-13,0.0010053172235745971
42211.05527638191,77545.08509918986,4.281361246844343,159780.0902904247,-4.901450370660193e-13,0.0010053172235232036
42814.07035175879,76315.77426662293,4.213489456489793,161009.468994782,-8.99405404361033e-13,0.0010053172239341086
43417.08542713568,75105.951586057,4.146693631409417,162219.358471173,-5.000124902896015e-13,0.0010053172235340649
44020.10050251256,73915.30802874519,4.08095670973915,163410.06776540648,-4.4835903484060804e-14,0.0010053172230813712
44623.115577889446,72743.53952761462,4.016261903555157,164581.90096134323,5.272904505230311e-13,0.001005317222510327
45226.13065326633,71590.34684936222,3.9525926918120904,165735.15730880733,1.0334701082849628e-12,0.0010053172220037864
45829.14572864321,70455.43567180324,3.8899328246135916,166870.1311462335,-9.796229310421936e-13,0.0010053172240201066
46432.160804020095,69338.51606531136,3.828266294581955,167987.11241925543,1.4324486689399351e-12,0.0010053172216096767
47035.175879396986,68239.30279233439,3.7675773533947634,169086.3863811736,-2.186519399973356e-13,0.0010053172232610912
47638.19095477387,67157.51513273385,3.707850502141664,170168.23376762538,9.464494079096094e-14,0.0010053172229509656
48241.20603015075,66092.87693963351,3.649070494407844,171232.93074073349,1.4623008531239268e-13,0.0010053172229023096
48844.221105527635,65045.11666433232,3.5912223376494947,172280.7488641914,1.1630962499651162e-13,0.001005317222932907
49447.23618090452,64013.96697722812,3.5342912722645434,173311.95548236102,1.4164802000841704e-13,0.0010053172229067561
50050.25125628141,62999.16519870428,3.4782627953824403,174326.81328936171,1.398021600235924e-13,0.0010053172229076862
50653.26633165829,62000.454758640415,3.4231227414455727,175325.57886947953,1.2717153311745162e-13,0.001005317222919355
51256.281407035174,61017.580164056766,3.3688570043666117,176308.50772980024,1.309414328188869e-13,0.0010053172229146175
51859.29648241206,60050.28538859457,3.315451448609706,177275.8559108182,1.1709264998575597e-13,0.0010053172229279575
52462.31155778894,59098.33230985696,3.2628929271391565,178227.8615480773,1.283899880787675e-13,0.0010053172229159038
53065.32663316582,58161.462642690676,3.211167179708239,179164.78294099102,1.367179051693846e-13,0.0010053172229070905
53668.34170854271,57239.45434143715,3.1602619468981086,180086.84214747735,1.3647351228044762e-13,0.0010053172229069311
54271.3567839196,56332.056973834566,3.1101634020300097,180994.2896136248,1.214882527468331e-13,0.0010053172229217162
54874.37185929648,55439.04517688486,3.0608591025306304,181887.350714874,1.0886968554894666e-13,0.0010053172229342183
55477.38693467336,54560.19147319246,3.012336489088124,182766.25294117985,1.1288850897394098e-13,0.0010053172229300663
56080.402010050246,53695.26537702298,2.9645828362964908,183631.2267910021,1.2433001673180204e-13,0.001005317222918497
56683.417085427136,52844.05635456679,2.9175865203204796,184482.48280977426,1.1736198212590743e-13,0.0010053172229253992
57286.43216080402,52006.33397878523,2.8713348189947556,185320.25143725713,9.58021010976972e-14,0.0010053172229469176
57889.4472361809,51181.8994013436,2.825816753653772,186144.7315327641,9.638682579869186e-14,0.0010053172229462699
58492.462311557785,50370.52963341953,2.7810200128054277,186956.14609742904,1.1579479803736902e-13,0.0010053172229267673
59095.47738693467,49572.02333829735,2.7369334803975467,187754.69647908362,1.2717299320537875e-13,0.0010053172229155106
59698.49246231156,48786.17666103386,2.6935459013434557,188540.58654392618,1.0949643980973533e-13,0.001005317222933728
60301.50753768844,48012.78409493725,2.650845929361375,189314.0218099948,8.099147086637833e-14,0.0010053172229629976
60904.522613065325,47251.65683306873,2.6088231401837962,190075.1910946525,9.453303034138247e-14,0.0010053172229497846
61507.53768844221,46502.58918396543,2.5674661773274976,190824.30010071862,1.438793373016097e-13,0.0010053172229003854
62110.55276381909,45765.40309012599,2.526765210014874,191561.52689552537,1.3654159138641259e-13,0.0010053172229078544
62713.56783919598,45039.89913900066,2.486709228429358,192287.0709026323,8.008396074352549e-14,0.0010053172229644916
63316.582914572864,44325.89757042679,2.447288307787281,193001.11189212682,5.207662929089147e-14,0.0010053172229924038
63919.59798994975,43623.215712096615,2.408492362521798,193703.83254640223,1.093167931171873e-13,0.0010053172229345516
64522.61306532663,42931.67008886084,2.3703112627401777,194395.4163507378,1.9349747369961777e-13,0.0010053172228496072
65125.62814070351,42251.09165952657,2.332735675466493,195076.03235565935,1.3956496140959834e-13,0.0010053172229037102
65728.6432160804,41581.296648188785,2.2957554542029115,195745.8643472184,-3.2226446932680574e-14,0.001005317223076537
66331.65829145728,40922.12574517228,2.259361803262786,196405.07164388584,3.3501602352483207e-15,0.0010053172230410892
66934.67336683416,40273.40060239929,2.223544875825423,197053.83260358626,2.2277564147454998e-13,0.0010053172228210979
67537.68844221105,39634.96074539484,2.1882958118941196,197692.30770965465,3.130586836149185e-13,0.0010053172227333965
68140.70351758794,39006.642497551504,2.1536055746784317,198320.66064773517,5.981563814866575e-14,0.0010053172229951446
68743.71859296483,38388.28206992091,2.11946512118543,198939.05521581927,-2.8284471156977515e-13,0.0010053172233494717
69346.73366834171,37779.72810467285,2.0858660947597865,199547.64278009374,-1.8179228824068277e-14,0.0010053172230912505
69949.74874371859,37180.816426577,2.05279943108146,200146.5875248533,7.728699815837889e-13,0.0010053172223022683
70552.76381909547,36591.40448400247,2.020257259696414,200736.0320095992,9.20536282536228e-13,0.0010053172221566804
71155.77889447236,36011.33277684673,1.9882307744042675,201316.13574324024,5.430460197542332e-13,0.0010053172225344114
71758.79396984924,35440.4580477604,1.956712065787382,201887.04199103516,3.098447218121992e-13,0.0010053172227678792
72361.80904522612,34878.63363505792,1.9256930364704532,202448.89742276698,6.203112923340401e-13,0.0010053172224589854
72964.824120603,34325.7133286015,1.8951656140086968,203001.84825664587,1.0089555782762589e-12,0.0010053172220748526
73567.83919597989,33781.5615996883,1.8651223156927257,203546.0300288574,3.7939005636975125e-13,0.0010053172227157741
74170.85427135679,33246.03178630715,1.8355550441292598,204081.5894095101,-1.1065923065988028e-12,0.0010053172242206303
74773.86934673367,32718.99632939905,1.8064567566229277,204608.6539647057,-1.429160803282404e-12,0.0010053172245601991
75376.88442211055,32200.312585520664,1.7778195776506103,205127.36634576306,-7.587373559493323e-13,0.0010053172239062687
75979.89949748744,31689.852670152457,1.7496364465478536,205637.85444426237,7.035344358170688e-15,0.0010053172231522672
76582.91457286432,31187.485164319525,1.7219001075084959,206140.24968643434,4.2176406096140053e-13,0.0010053172227412323
77185.9296482412,30693.079553988257,1.6946033546893176,206634.68259351843,6.203510516670074e-13,0.001005317222539989
77788.94472361809,30206.51448117464,1.6677394877640623,207121.27453019898,6.245884569793338e-13,0.0010053172225342822
