time (hr),oxidation_proportion
0.0,0.0
0.17094017094017094,12.494864317563897
0.3418803418803419,12.499997888523911
0.5128205128205128,12.499999998635559
0.6837606837606838,12.500000000190312
0.8547008547008547,12.499999999969193
1.0256410256410255,12.499999995998332
1.1965811965811965,12.500000001042045
1.3675213675213675,12.499999999202348
1.5384615384615383,12.500000000499922
1.7094017094017093,12.49999999972967
1.88034188034188,12.500000000128583
2.051282051282051,12.499999999947327
2.2222222222222223,12.500000000335865
2.393162393162393,12.500000000465834
2.564102564102564,12.500000000129837
2.735042735042735,12.499999999953138
2.905982905982906,12.499999999771529
3.0769230769230766,12.49999999989113
3.2478632478632474,12.499999999846368
3.4188034188034186,12.499999999952262
3.5897435897435894,12.499999999963043
3.76068376068376,12.499999999994174
3.9316239316239314,12.499999999998602
4.102564102564102,12.49999999999501
4.273504273504273,12.49999999998659
4.444444444444445,12.499999999987164
4.615384615384615,12.499999999970727
4.786324786324786,12.499999999896264
4.9572649572649565,12.499999999802474
5.128205128205128,12.499999999707805
5.299145299145298,12.49999999963886
5.47008547008547,12.499999999630413
5.641025641025641,12.499999999725405
5.811965811965812,12.499999999951148
5.982905982905983,12.499999999830557
6.153846153846153,12.499999999705757
6.3247863247863245,12.499999999595417
6.495726495726495,12.49999999952257
6.666666666666667,12.499999999514625
